France	2018°	Présence_de_femmes_dans_des_publicités_pour_des_automobiles	36%	0.28
France	2016°	Conseiler·ères_régionaux·ales_en_éducation=_part_des_femmes	54%	0.08000000000000007
France	2015°	Fonction_publique_hospitalière=_catégorie_A=_part_de_femmes	47%	0.06000000000000005
France	2015°	Fonction_publique_territoriale=_catégorie_A+=_part_de_femmes	52%	0.040000000000000036
France	2014°	Présentateurs_dans_les_journaux_télévision=_part_des_femmes_	20%	0.6
France	2018°	Présence_de_femmes_dans_des_publicités_pour_le_soin_du_corps	63%	0.26
France	2018°	Présence_de_femmes_dans_des_publicités_pour_des_jeux_d*argent	22%	0.56
France	2016°	Directeurs_des_établissement_spectacle_vivant=_part_de_femmes	8%	0.84
France	2018°	Présidences_de_commissions_Assemblée_Nationale=_part_de_femmes	41%	0.18000000000000005
France	2016°	Conseiler·ères_régionaux·ales_en_budget/finance=_part_de_femmes	11%	0.778
France	2014°	Pourcentage_des_femmes_parmi_les_experts_invités_dans_les_médias	20%	0.6
France	2016°	Artistes_travaillant_dans_la_mise_en_scène_opéra=_part_de_femmes	26%	0.48
France	2018°	Programmation_artistique_lieux_musicaux=_part_des_artistes_femmes	20%	0.6
France	2016°	Conseiler·ères_régionaux·ales_en_affaires_sociales=_part_de_femmes	100%	1.0
France	2018°	Programmation_artistique_théâtre_et_danse=_part_des_artistes_femmes	34%	0.31999999999999995
France	2018°	Exposition=_et_acquisition_dans_les_FRAC_=_part_des_artistes_femmes	23%	0.54
France	2016°	Directeurs_des__entreprises_de_l*audiovisuel_public=_part_de_femmes	60%	0.19999999999999996
France	2018°	Part_consacrée_à_la_retransmission_du_sport_féminin_à_la_télévision	18%	0.64
France	2014°	Employé·es_DTN_(directeur·trice_technique_nationale)=_part_de_femmes	12%	0.75
France	2016°	Délégations_secteur_Transport_des_conseils_régionaux=_part_de_femmes	8%	0.834
France	2018°	Direction=_présidence_d*établissements_-_spectacle_vivant=_part_de_femmes	9%	0.8200000000000001
France	2018°	Direction=_présidence_d*entreprises_de_l*audiovisuel_public=_part_de_femmes	60%	0.19999999999999996
France	2015°	Fonction_publique_d*État=_encadrement_supérieur_et_direction=_part_de_femmes	32%	0.36
France	2016°	Délégations_secteur_Education_et_lycée_des_conseils_régionaux=_part_de_femmes	54%	0.09000000000000008
France	2016°	Délégations_secteur_Budget_et_Finances_des_conseils_régionaux=_part_de_femmes	11%	0.778
France	2015°	Fonction_publique_territoriale=_encadrement_supérieur_et_direction=_part_de_femmes	29%	0.42000000000000004
France	2015°	Fonction_publique_hospitalière=_encadrement_supérieur_et_direction=_part_de_femmes	47%	0.06000000000000005
