annee,pays,nom,valeur
2013,France,"A l'antenne, programmes fiction, part des femmes",37%
2014,France,"A l'antenne, programmes fiction, part des femmes",37%
2015,France,"A l'antenne, programmes fiction, part des femmes",39%
2016,France,"A l'antenne, programmes fiction, part des femmes",35%
2013,France,"A l'antenne, programmes information, part des femmes",35%
2014,France,"A l'antenne, programmes information, part des femmes",36%
2015,France,"A l'antenne, programmes information, part des femmes",36%
2016,France,"A l'antenne, programmes information, part des femmes",37%
2013,France,"A l'antenne, magazines et documentaires, part des femmes",37%
2014,France,"A l'antenne, magazines et documentaires, part des femmes",34%
2015,France,"A l'antenne, magazines et documentaires, part des femmes",35%
2016,France,"A l'antenne, magazines et documentaires, part des femmes",32%
2013,France,"A l'antenne, programmes divertissement, part des femmes",41%
2014,France,"A l'antenne, programmes divertissement, part des femmes",39%
2016,France,"A l'antenne, programmes divertissement, part des femmes",41%
2013,France,"A l'antenne, programmes sport, part des femmes",15%
2014,France,"A l'antenne, programmes sport, part des femmes",16%
2016,France,"A l'antenne, programmes sport, part des femmes",17%
