annee,pays,nom,valeur
2016,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",12%
2016,France,Part des femmes parmi les artistes exposé·e·s dans les fonds régionaux d'art contemporain ,31%
2015,France,Part des femmes parmi les artistes exposé·e·s dans les fonds régionaux d'art contemporain ,23%
2014,France,Part des femmes parmi les artistes exposé·e·s dans les fonds régionaux d'art contemporain ,23%
2013,France,Part des femmes parmi les artistes exposé·e·s dans les fonds régionaux d'art contemporain ,23%
2016,France,Part des femmes parmi les artistes exposé·e·s dans les centres d'art contemporain ,33%
2015,France,Part des femmes parmi les artistes exposé·e·s dans les centres d'art contemporain ,31%
2014,France,Part des femmes parmi les artistes exposé·e·s dans les centres d'art contemporain ,31%
2013,France,Part des femmes parmi les artistes exposé·e·s dans les centres d'art contemporain ,33%
2014-2015,France,"Etudiant·e·s des écoles de l'enseignement supérieur - Arts Plastiques, part de femme",64%
2015-2016,France,"Etudiant·e·s des écoles de l'enseignement supérieur - Arts Plastiques, part de femme",64%
2016-2017,France,"Etudiant·e·s des écoles de l'enseignement supérieur - Arts Plastiques, part de femme",65%
2017-2018,France,"Etudiant·e·s des écoles de l'enseignement supérieur - Arts Plastiques, part de femme",66%
2016,France,"Compositeur·rice·s musicaux·ales et chorégraphes affilié·es à l'Agessa, part de femmes",11%
2016,France,"Compositeur·rice·s musicaux·ales et chorégraphes, revenu médian des femmes par rapport aux hommes",-44%
2016,France,"Métiers d'art, revenu médian des femmes par rapport aux hommes",-24%
2016,France,"Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes",-28%
2016,France,"Graphistes, revenu médian des femmes par rapport aux hommes",-15%
2016,France,"Peintres, revenu médian des femmes par rapport aux hommes",-27%
2016,France,"Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes",-25%
2016,France,"Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes",-19%
2016,France,"Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes",-24%
2016,France,"Ensemble artistes auteur·e·s affilié·e·s à la Maison des artistes, revenu médian des femmes par rapport aux hommes",-21%
2018,France,"Compositeur·rice·s musicaux·ales, sociétaires de la SACEM, part de femmes",9%
2015,France,Part des femmes parmi les commissaires d'expositions de quelques grandes expositions,49%
2016,France,Part des femmes parmi les commissaires d'expositions de quelques grandes expositions,58%
2017,France,Part des femmes parmi les commissaires d'expositions de quelques grandes expositions,54%
2018,France,Part des femmes parmi les commissaires d'expositions de quelques grandes expositions,50%
2016,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",12%
2015,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",43%
2014,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",31%
2013,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",17%
2012,France,"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes",18%
2017,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",40%
2016,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",23%
2015,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",33%
2014,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",25%
2013,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",28%
2012,France,"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes",19%
