annee,pays,nom,valeur
2013,France,"A l'antenne, programmes fiction, part de femmes",37%
2014,France,"A l'antenne, programmes fiction, part de femmes",37%
2015,France,"A l'antenne, programmes fiction, part de femmes",39%
2016,France,"A l'antenne, programmes fiction, part de femmes",35%
2013,France,"A l'antenne, programmes information, part de femmes",35%
2014,France,"A l'antenne, programmes information, part de femmes",36%
2015,France,"A l'antenne, programmes information, part de femmes",36%
2016,France,"A l'antenne, programmes information, part de femmes",37%
2013,France,"A l'antenne, magazines et documentaires, part de femmes",37%
2014,France,"A l'antenne, magazines et documentaires, part de femmes",34%
2015,France,"A l'antenne, magazines et documentaires, part de femmes",35%
2016,France,"A l'antenne, magazines et documentaires, part de femmes",32%
2013,France,"A l'antenne, programmes divertissement, part de femmes",41%
2014,France,"A l'antenne, programmes divertissement, part de femmes",39%
2016,France,"A l'antenne, programmes divertissement, part de femmes",41%
2013,France,"A l'antenne, programmes sport, part de femmes",15%
2014,France,"A l'antenne, programmes sport, part de femmes",16%
2016,France,"A l'antenne, programmes sport, part de femmes",17%
2018,France,"A l'antenne, programmes fiction, part de femmes",40%
2018,France,"A l'antenne, programmes information, part de femmes",38%
2018,France,"A l'antenne, magazines et documentaires, part de femmes",36%
2018,France,"A l'antenne, programmes divertissement, part de femmes",43%
2018,France,"A l'antenne, programmes sport, part de femmes",24%
2019,France,"A l'antenne, programmes fiction, part de femmes",41%
2019,France,"A l'antenne, programmes information, part de femmes",39%
2019,France,"A l'antenne, magazines et documentaires, part de femmes",38%
2019,France,"A l'antenne, programmes divertissement, part de femmes",40%
2019,France,"A l'antenne, programmes sport, part de femmes",15%
2017,France,"Présentateur, France Info, part de femmes",19%
2017,France,"Présentateur, France inter, part de femmes",36%
2017,France,"Présentateur, France Culture, part de femmes",52%
2017,France,"Présentateur, France Musique, part de femmes",49%
2017,France,"Présentateur, RFI, part de femmes",42%
2017,France,"Présentateur, RMC, part de femmes",17%
2017,France,"Présentateur, RTL, part de femmes",32%
2017,France,"Présentateur, Europe 1, part de femmes",48%
2017,France,"Experts, France Info, part de femmes",31%
2017,France,"Experts, France inter, part de femmes",34%
