annee,pays,nom,valeur
2018,France,"Bénéficiaires des aides à l'écriture d'œuvres musicales accordées par le ministère de la Culture, part de femmes",13
2018,France,"Bénéficiaires des aides à l'écriture dramatique accordées par le ministère de la Culture, part de femmes",57
2018,France,"Bénéficiaires des aides déconcentrées pour la danse accordées par le ministère de la Culture, part de femmes",42
2018,France,"Bénéficiaires des aides déconcentrées pour la musique accordées par le ministère de la Culture, part de femmes",22
2018,France,"Bénéficiaires des aides déconcentrées pour le théâtre accordées par le ministère de la Culture, part de femmes",36
2018,France,"Bénéficiaires des aides à la création artistique accordées par le ministère de la Culture, part de femmes",33
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Arts et bibliophilie, part de femmes",41%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Bande dessinée, part de femmes",24%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Histoire et shs, part de femmes",46%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Jeunesse, part de femmes",75%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Littérature scientifique et technique, part de femmes",100%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Littératures étrangères, part de femmes",39%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Philosophie, part de femmes",50%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Poésie, part de femmes",42%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Roman, part de femmes",43%
2018,France,"Bénéficiaires des aides accordées par le Centre national du livre (CNL) - Théâtre, part de femmes",50%
