annee,pays,nom,valeur
2016,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-13%
2016,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,12%
2016,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,-3%
2016,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,0%
2016,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-1%
2017,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-21%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses,-11%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de résidence,-5%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de traduction,17%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- traducteurs étrangers ,-28%
2018,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-43%
2018,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,-9%
2018,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,3%
2018,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,16%
2018,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-16%
2016,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-13%
2016,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,12%
2016,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,-3%
2016,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,0%
2016,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-1%
2017,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-21%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses,-11%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de résidence,-5%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de traduction,17%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- traducteurs étrangers ,-28%
2018,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-43%
2018,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,-9%
2018,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,3%
2018,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,16%
2018,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-16%
