48 - Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,4,Afghanistan,2015,Female,46.1,-,-,9,9,Source: DHS,0,a,0,0,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2007,Female,23.9,-,-,9,9,Source: DHS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2011,Female,50.7,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2002,Female,31.9,-,-,9,9,Source: WHO,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2002,Female,30.2,-,-,9,9,Source: WHO,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,356,India,2006,Female,23.9,-,-,9,9,Source: DHS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,462,Maldives,2006,Female,6.4,-,-,9,9,Source: WHO,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,524,Nepal,2011,Female,14.3,-,-,9,9,Source: DHS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,40,Austria,2014,Female,3,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,56,Belgium,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,100,Bulgaria,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,124,Canada,2009,Female,1.3,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,191,Croatia,2014,Female,3,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,203,Czech Republic,2014,Female,4,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,208,Denmark,2003,Female,1,-,-,9,9,Source: IVAWS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,208,Denmark,2014,Female,4,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,233,Estonia,2014,Female,4,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2006,Female,7,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2013,Female,5.8,-,-,9,9,Source: Victimization survey,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2014,Female,5,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,250,France,2007,Female,1,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,250,France,2014,Female,5,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,276,Germany,2014,Female,3,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,300,Greece,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,348,Hungary,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,352,Iceland,2008,Female,1.8,-,-,9,9,Source: IVAWS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,372,Ireland,2014,Female,3,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,380,Italy,2006,Female,2.4,-,-,9,9,Source: IVAWS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,380,Italy,2014,Female,1.9,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,428,Latvia,2014,Female,5,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,440,Lithuania,2014,Female,4,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,442,Luxembourg,2014,Female,3,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,470,Malta,2014,Female,4,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,498,Republic of Moldova,2005,Female,14.5,-,-,9,9,Source: DHS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,528,Netherlands,2014,Female,2,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,578,Norway,2008,Female,6,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,616,Poland,2004,Female,3.3,-,-,9,9,Source: IVAWS,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,616,Poland,2012,Female,2,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,642,Romania,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,703,Slovakia,2008,Female,12,-,-,9,9,Source: Other,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,703,Slovakia,2014,Female,6,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,705,Slovenia,2014,Female,2,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,724,Spain,2014,Female,2,-,-,9,9,Source: FRA,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,752,Sweden,2012,Female,2.2,-,-,9,9,Source: Crime Survey,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,752,Sweden,2014,Female,5,-,-,9,9,Source: FRA,0,0,0,-,-,-
