31a - Educational attainment (primary) of the population aged 25 and older  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Female,3.49,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Male,4.92,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,4.21,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Female,8.13,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Male,9.17,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Both sexes,8.9,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Female,14.83,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Male,13.28,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,14.11,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Female,18.58,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Male,21.21,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Both sexes,19.97,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Female,1.13,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Male,2.14,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Both sexes,1.64,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Female,4.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Male,8.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Both sexes,6.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Female,4.58,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Male,9.94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Both sexes,7.37,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Female,1.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Male,1.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Both sexes,1.45,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Female,18.75,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Male,16.93,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Both sexes,17.79,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Female,42.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Male,34.6,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Both sexes,38.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Female,44.95,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Male,37.55,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Both sexes,41.28,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Female,14.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Male,20.9,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Both sexes,17.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (tertiary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2012,Female,14.74,-,-,2,2,-,-,-,-,-,-,-
