2a - Whether or not ratified ILO convention 156 on workers with familiy responsibilities

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,4,Afghanistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,50,Bangladesh,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,144,Sri Lanka,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,356,India,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,364,Iran (Islamic Republic of),-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,462,Maldives,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,524,Nepal,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Southern Asia,586,Pakistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,8,Albania,2007-10-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,36,Australia,1990-03-30,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,40,Austria,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,56,Belgium,2015-04-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,70,Bosnia and Herzegovina,1993-06-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,100,Bulgaria,2006-04-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,112,Belarus,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,124,Canada,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,191,Croatia,1991-10-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,196,Cyprus,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,203,Czech Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,208,Denmark,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,233,Estonia,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,246,Finland,1983-02-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,250,France,1989-03-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,276,Germany,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,300,Greece,1988-06-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,348,Hungary,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,352,Iceland,2000-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,372,Ireland,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,376,Israel,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,380,Italy,-,Status,Not ratified,-
Whether or not ratified ILO convention 156 on workers with familiy responsibilities,Developed regions,392,Japan,1995-06-09,Status,Ratified  in force,-
