2d - Whether or not ratified ILO convention 183 on maternity protection

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,4,Afghanistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,50,Bangladesh,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,144,Sri Lanka,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,356,India,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,364,Iran (Islamic Republic of),-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,462,Maldives,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,524,Nepal,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Southern Asia,586,Pakistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,8,Albania,2004-08-18,Status,Ratified  in force,Period of maternity leave: 365 calendar days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,36,Australia,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,40,Austria,2004-04-30,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,56,Belgium,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,70,Bosnia and Herzegovina,2010-01-18,Status,Ratified  in force,Period of maternity leave: 28 days before the date of delivery and for a total period of one year (for twins  and subsequent children  a total period of 18 months) is guaranteed.
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,100,Bulgaria,2001-12-06,Status,Ratified  in force,Period of maternity leave: 135 days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,112,Belarus,2004-02-10,Status,Ratified  in force,Period of maternity leave: 126 days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,124,Canada,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,191,Croatia,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,196,Cyprus,2005-01-12,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,203,Czech Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,208,Denmark,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,233,Estonia,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,246,Finland,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,250,France,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,276,Germany,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,300,Greece,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,348,Hungary,2003-11-04,Status,Ratified  in force,Period of maternity leave: 24 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,352,Iceland,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,372,Ireland,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,376,Israel,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,380,Italy,2001-02-07,Status,Ratified  in force,Period of maternity leave: five months
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,392,Japan,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,428,Latvia,2009-02-09,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,440,Lithuania,2003-09-29,Status,Ratified  in force,Period of maternity leave: 126 calendar days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,442,Luxembourg,2008-04-08,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,470,Malta,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,498,Republic of Moldova,2006-08-28,Status,Ratified  in force,Period of maternity leave: 126 calendar days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,499,Montenegro,2012-04-19,Status,Ratified  in force,The length of maternity leave is 365 days from the birth of child
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,528,Netherlands,2009-01-15,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,554,New Zealand,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,578,Norway,2015-11-09,Status,Ratified  in force,A pregnant employee is entitled to leave of absence for up to twelve weeks during pregnancy and that  after giving birth  the mother shall have leave of absence for the first six weeks unless she produces a medical certificate stating that it is better for her to resume work. Furthermore  the parents shall be entitled to leave of absence for a total of 12 months.
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,616,Poland,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,620,Portugal,2012-11-08,Status,Ratified  in force,Women workers are entitled to an initial parental leave of 120 or 150 consecutive days.
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,642,Romania,2002-10-23,Status,Ratified  in force,Period of maternity leave: 126 calendar days
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,643,Russian Federation,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,674,San Marino,-,Status,Not ratified,-
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,688,Serbia,2010-08-31,Status,Ratified  in force,Period of maternity leave: 16 weeks
Whether or not ratified ILO convention 183 on maternity protection,Developed regions,703,Slovakia,2000-12-12,Status,Ratified  in force,Period of maternity leave: 28 weeks
