9 - Existence of laws on domestic violence

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Existence of laws on domestic violence,Southern Asia,4,Afghanistan,Violence against Women Laws - Domestic violence,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Southern Asia,4,Afghanistan,Violence against Women Laws - Sexual harassment,No,Data are from US Department of State 2011.
Existence of laws on domestic violence,Southern Asia,4,Afghanistan,Violence against Women Laws - Marital rape,No,Data are from US Department of State 2011.
Existence of laws on domestic violence,Southern Asia,50,Bangladesh,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Southern Asia,50,Bangladesh,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Southern Asia,50,Bangladesh,Violence against Women Laws - Marital rape,No,-
Existence of laws on domestic violence,Southern Asia,64,Bhutan,Violence against Women Laws - Domestic violence,No,Information from the UN Secretary-General's database indicates that draft legislation is under consideration.
Existence of laws on domestic violence,Southern Asia,64,Bhutan,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Southern Asia,64,Bhutan,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Southern Asia,144,Sri Lanka,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Southern Asia,144,Sri Lanka,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Southern Asia,144,Sri Lanka,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Southern Asia,356,India,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Southern Asia,356,India,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Southern Asia,356,India,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Southern Asia,364,Iran (Islamic Republic of),Violence against Women Laws - Domestic violence,Not Available / contradictory data source,-
Existence of laws on domestic violence,Southern Asia,364,Iran (Islamic Republic of),Violence against Women Laws - Sexual harassment,Not Available / contradictory data source,-
Existence of laws on domestic violence,Southern Asia,364,Iran (Islamic Republic of),Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Southern Asia,462,Maldives,Violence against Women Laws - Domestic violence,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Southern Asia,462,Maldives,Violence against Women Laws - Sexual harassment,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Southern Asia,462,Maldives,Violence against Women Laws - Marital rape,No,Information provided by UN Women regional and country offices.
Existence of laws on domestic violence,Southern Asia,524,Nepal,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Southern Asia,524,Nepal,Violence against Women Laws - Sexual harassment,No,Data are based on documents produced by Member States and the UN system for the Universal Periodic Review (UPR). The UPR is a unique process that involves a review of the human rights records of all 192 UN Member States once every four years. The UPR is a State-driven process  under the auspices of the Human Rights Council  which provides the opportunity for each State to declare what actions they have taken to improve the human rights situations in their countries and to fulfil their human rights obligations. All documents are available at: http://www.ohchr.org/en/hrbodies/upr/pages/uprmain.aspx Draft legislation is under consideration  according to UN Women country or regional office.
Existence of laws on domestic violence,Southern Asia,524,Nepal,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Southern Asia,586,Pakistan,Violence against Women Laws - Domestic violence,No,Information from the UN Secretary-General's database indicates that draft legislation is under consideration.
Existence of laws on domestic violence,Southern Asia,586,Pakistan,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Southern Asia,586,Pakistan,Violence against Women Laws - Marital rape,No,Data are based on documents produced by Member States and the UN system for the Universal Periodic Review (UPR). The UPR is a unique process that involves a review of the human rights records of all 192 UN Member States once every four years. The UPR is a State-driven process  under the auspices of the Human Rights Council  which provides the opportunity for each State to declare what actions they have taken to improve the human rights situations in their countries and to fulfil their human rights obligations. All documents are available at: http://www.ohchr.org/en/hrbodies/upr/pages/uprmain.aspx
Existence of laws on domestic violence,Developed regions,8,Albania,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,8,Albania,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,8,Albania,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,20,Andorra,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,20,Andorra,Violence against Women Laws - Sexual harassment,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,20,Andorra,Violence against Women Laws - Marital rape,No,Council of Europe 2007.
Existence of laws on domestic violence,Developed regions,36,Australia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,36,Australia,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,36,Australia,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,40,Austria,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,40,Austria,Violence against Women Laws - Sexual harassment,Yes,-
