6 - Presence of a gender quota for parliament (voluntary party quotas)

Indicator Name,Region,Country Code,Country,Year,Measure Name,Measure Value,Footnote
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,4,Afghanistan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,50,Bangladesh,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,64,Bhutan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,144,Sri Lanka,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,356,India,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,364,Iran (Islamic Republic of),2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,462,Maldives,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,524,Nepal,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Southern Asia,586,Pakistan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,8,Albania,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,20,Andorra,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,36,Australia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,40,Austria,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,56,Belgium,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,60,Bermuda,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,70,Bosnia and Herzegovina,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,100,Bulgaria,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,112,Belarus,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,124,Canada,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,191,Croatia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,196,Cyprus,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,203,Czech Republic,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,208,Denmark,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,233,Estonia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,246,Finland,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,250,France,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,276,Germany,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,300,Greece,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,348,Hungary,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,352,Iceland,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,372,Ireland,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,376,Israel,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,380,Italy,2015,Status,Yes,-
