2 - Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,64,Bhutan,2006,Female,8.42,-,-,1,1,Paid work does not include commuting to/from work,Age unknown,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,64,Bhutan,2006,Male,7.13,-,-,1,1,Paid work does not include commuting to/from work,Age unknown,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,356,India,1998,Female,7.37,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,6+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,356,India,1998,Male,7.27,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,6+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Female,5.77,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Male,5.98,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,586,Pakistan,2007,Female,6.08,-,-,1,1,Collecting water and fuel included under unpaid work,10+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Southern Asia,586,Pakistan,2007,Male,5.82,-,-,1,1,Collecting water and fuel included under unpaid work,10+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,8,Albania,2010,Female,7.15,-,-,1,1,Time on unpaid domestic work includes time spent on community or volunteer work,10+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,8,Albania,2010,Male,5.1,-,-,1,1,Time on unpaid domestic work includes time spent on community or volunteer work,10+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,36,Australia,2006,Female,7.35,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,36,Australia,2006,Male,7.28,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,36,Australia,1997,Female,7.07,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,36,Australia,1997,Male,6.97,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,40,Austria,2008,Female,6.5,-,-,1,1,0,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,40,Austria,2008,Male,6.08,-,-,1,1,0,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Female,6.02,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,19-65,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Female,6.32,-,-,1,1,0,15-84,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Male,5.98,-,-,1,1,0,15-84,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,2005,Male,5.73,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,19-65,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,1998,Female,6.25,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,19-65,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,56,Belgium,1998,Male,5.88,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,19-65,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2009,Female,6.72,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2009,Male,5.38,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2001,Female,7.87,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,100,Bulgaria,2001,Male,6.53,-,-,1,1,Time on unpaid work does not include time spent on community or volunteer work,20-74,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,2005,Female,7.3,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,2005,Male,7.3,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,2010,Female,7.28,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,2010,Male,7.08,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,1998,Female,7.2,-,-,1,1,0,15+,-,-,-,-,-
Average number of hours spent on paid and unpaid domestic work combined (total work burden)  by sex,Developed regions,124,Canada,1998,Male,7.25,-,-,1,1,0,15+,-,-,-,-,-
