10 - Whether or not inheritance rights discriminate against women and girls

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Whether or not inheritance rights discriminate against women and girls,Southern Asia,4,Afghanistan,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,4,Afghanistan,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,50,Bangladesh,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,50,Bangladesh,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,64,Bhutan,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,64,Bhutan,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,144,Sri Lanka,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,144,Sri Lanka,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,356,India,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,356,India,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,364,Iran (Islamic Republic of),Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,364,Iran (Islamic Republic of),Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,462,Maldives,-,-,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,524,Nepal,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,524,Nepal,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,586,Pakistan,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Southern Asia,586,Pakistan,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,8,Albania,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,8,Albania,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,36,Australia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,36,Australia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,40,Austria,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,40,Austria,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,56,Belgium,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,56,Belgium,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,60,Bermuda,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,70,Bosnia and Herzegovina,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,70,Bosnia and Herzegovina,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,100,Bulgaria,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,100,Bulgaria,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,112,Belarus,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,112,Belarus,Discrimination against daughters,The law guarantees the same inheritance rights,-
