38 - Proportion of adults who are obese  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of adults who are obese  by sex,Southern Asia,4,Afghanistan,2008,Female,3.3,0.2,11.3,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,4,Afghanistan,2008,Male,1.5,0.1,5.2,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,50,Bangladesh,2008,Female,1.3,0.8,2.2,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,50,Bangladesh,2008,Male,1,0.3,2.4,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,64,Bhutan,2008,Female,6.6,2,12.9,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,64,Bhutan,2008,Male,4.7,1.7,8.7,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,144,Sri Lanka,2008,Female,7.3,4.4,10.6,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,144,Sri Lanka,2008,Male,2.6,1.6,3.9,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,356,India,2008,Female,2.5,1.6,3.6,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,356,India,2008,Male,1.3,0.9,1.9,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Female,29.5,25.7,33.2,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Male,13.6,10.9,16.6,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,462,Maldives,2008,Female,26.1,17.1,35.2,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,462,Maldives,2008,Male,6.5,1.1,16.9,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,524,Nepal,2008,Female,1.6,0.8,2.9,3,2,-,-,-,-,-,-,-
Proportion of adults who are obese  by sex,Southern Asia,524,Nepal,2008,Male,1.4,0.3,3.8,3,2,-,-,-,-,-,-,-
