1a - Whether or not ratified ILO convention 100 on equal remuneration for women and men

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,4,Afghanistan,1969-08-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,50,Bangladesh,1998-01-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,144,Sri Lanka,1993-04-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,356,India,1958-09-25,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,364,Iran (Islamic Republic of),1972-06-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,462,Maldives,2013-01-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,524,Nepal,1976-06-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Southern Asia,586,Pakistan,2001-10-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,8,Albania,1957-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,36,Australia,1974-12-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,40,Austria,1953-10-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,56,Belgium,1952-05-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,70,Bosnia and Herzegovina,1993-06-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,100,Bulgaria,1955-11-07,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,112,Belarus,1956-08-21,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,124,Canada,1972-11-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,191,Croatia,1991-10-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,196,Cyprus,1987-11-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,203,Czech Republic,1993-01-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,208,Denmark,1960-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,233,Estonia,1996-05-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,246,Finland,1963-01-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,250,France,1953-03-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,276,Germany,1956-06-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,300,Greece,1975-06-06,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,348,Hungary,1956-06-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,352,Iceland,1958-02-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,372,Ireland,1974-12-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,376,Israel,1965-06-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,380,Italy,1956-06-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,392,Japan,1967-08-24,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,428,Latvia,1992-01-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,440,Lithuania,1994-09-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,442,Luxembourg,1967-08-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,470,Malta,1988-06-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,498,Republic of Moldova,2000-03-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,499,Montenegro,2006-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,528,Netherlands,1971-06-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,554,New Zealand,1983-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,578,Norway,1959-09-24,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,616,Poland,1954-10-25,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,620,Portugal,1967-02-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,642,Romania,1957-05-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,643,Russian Federation,1956-04-30,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,674,San Marino,1985-05-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 100 on equal remuneration for women and men,Developed regions,688,Serbia,2000-11-24,Status,Ratified  in force,-
