3 - Length of maternity leave

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Actual Data,Data Unit,Footnote
Length of maternity leave,Southern Asia,4,Afghanistan,Maternity leave duration,Less than 14 weeks,13,Weeks,Entitlement: A female employee is entitled to 90 days of paid maternity leave. Thirty days of the leave is granted before delivery and the rest (60 days) is granted to her after delivery.
Length of maternity leave,Southern Asia,50,Bangladesh,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: Employers are prohibited from knowingly employing a woman in his establishment  and women are prohibited from working in any establishment  during the eight weeks immediately following the day of her delivery.  Entitlement: Maternity leave may commence at any time within 8 weeks of the expected day of delivery and must continue for a period of 8 weeks following the day of delivery.
Length of maternity leave,Southern Asia,144,Sri Lanka,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: 2 weeks up to including the day of her confinement and 10 weeks immediately following that day  if the confinement results in the issue of a live child  and such woman has  at the date of such confinement no child or has one child. 6 weeks  that is to say two weeks up to and including the day of her confinement and four weeks immediately following that day if the confinement results in the issue of a child  and such woman has  at the date of such confinement  two or more than two children; if the confinement does not result in the issue of live child.(Maternity Benefits Act). 28 days commencing on the date of her confinement(Shops Act).  Entitlement: Twelve weeks. For employees in shops or offices  the length of maternity leave is 42 days  of which 14 days before and 28 days after confinement.
Length of maternity leave,Southern Asia,356,India,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: No woman shall work in any establishment during the 6 weeks immediately following the day of her delivery or miscarriage.  Entitlement: 12 weeks  being the 6 weeks before the anticipated date of delivery and the 6 weeks following the actual date of delivery.
Length of maternity leave,Southern Asia,364,Iran (Islamic Republic of),Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: No compulsory leave requirements identified. However  the Labour Code stipulates that 45 days of the 90 day maternity leave entitlement shall be taken  if possible  after delivery.  Entitlement: The Labour Code entitles women workers to 90 days of maternity leave. The Encouraging Breastfeeding and Protection of Breastfeeding Mothers Law extends the maternity leave entitlement to four months for nursing mothers.
Length of maternity leave,Southern Asia,524,Nepal,Maternity leave duration,Less than 14 weeks,7,Weeks,Compulsory: No compulsory leave provisions identified.  Entitlement: 52 days.
Length of maternity leave,Southern Asia,586,Pakistan,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: No woman shall engage in employment in any establisment during the 6 weeks following the day on which she delivers a child.  Entitlement: Where the worker gives notice either orally in person or in writing to her employer that she expects to be confied within the next 6 weeks  she will be entitled to a period of up to 12 weeks’ maternity leave (being from the day after giving notice until 6 weeks after the day of delivery). Where the worker does not give notice until she has already given birth  she will be entitled to up to 6 weeks’ maternity leave (being from the day of delivery until 6 weeks after that day).
Length of maternity leave,Developed regions,8,Albania,Maternity leave duration,At least 14 weeks,52,Weeks,Compulsory: Pregnant women must not work 35 days before the expected date of giving birth and 42 days after giving birth. When the woman is pregnant with more than one baby  the first period becomes 60 days. After the period of 42 days following delivery  the woman shall decide whether she wants to work or benefit from social security.  Entitlement: 365 calendar days  including a minimum of 35 days prior to and 42 days after childbirth.
Length of maternity leave,Developed regions,20,Andorra,Maternity leave duration,At least 14 weeks,16,Weeks,0
Length of maternity leave,Developed regions,36,Australia,Maternity leave duration,At least 14 weeks,52,Weeks,Compulsory: Female employees may be required to take unpaid leave within 6 weeks prior to the expected birth of a child if she is certified as unfit for work or fails to provide a medical certificate when asked to do so by her employer.  Entitlement: Employees who qualify for unpaid parental leave are entitled to 12 months’ leave  less any period of special maternity leave taken by the mother during the pregnancy. Where the employee is a member of an employee couple  the length of the employee’s entitlement will also be reduced by any extension period taken by the employee’s partner under s76 of the Fair Work Act. A birth mother’s period of parental leave is to commence up to 6 weeks before the expected date of birth and no later than the actual date of birth of the child. Parental leave is to be taken as a single continuous period of leave. The only exception to this rule is where a couple exercises the right to take up to 3 weeks of concurrent parental leave at the time of the birth. In such cases  one employee may take part of his or her unpaid parental leave entitlement within 3 weeks’ of the child’s birth and recommence his or her leave when his or her partner returns to work.
