11 - Legal minimum age at marriage  by sex

Indicator Name,Region,Country Code,Country,Sex,Measure Name,Measure Value,Actual Data,Footnote1,Footnote2
Legal minimum age at marriage  by sex,Southern Asia,4,Afghanistan,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Southern Asia,4,Afghanistan,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Southern Asia,4,Afghanistan,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,4,Afghanistan,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,50,Bangladesh,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,50,Bangladesh,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,50,Bangladesh,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Southern Asia,50,Bangladesh,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,64,Bhutan,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,64,Bhutan,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,64,Bhutan,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,64,Bhutan,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,144,Sri Lanka,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,Minimum legal ages at marriage may vary across states/provinces  ethnic groups  religious groups or forms of marriage.
Legal minimum age at marriage  by sex,Southern Asia,144,Sri Lanka,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Southern Asia,144,Sri Lanka,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,144,Sri Lanka,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,356,India,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,Minimum legal ages at marriage may vary across states/provinces  ethnic groups  religious groups or forms of marriage.
Legal minimum age at marriage  by sex,Southern Asia,356,India,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,356,India,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Southern Asia,356,India,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,364,Iran (Islamic Republic of),Female,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,364,Iran (Islamic Republic of),Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Southern Asia,364,Iran (Islamic Republic of),Male,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,364,Iran (Islamic Republic of),Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,462,Maldives,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,462,Maldives,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,Under exceptional circumstances.
Legal minimum age at marriage  by sex,Southern Asia,462,Maldives,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,462,Maldives,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,Under exceptional circumstances.
Legal minimum age at marriage  by sex,Southern Asia,524,Nepal,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,20,0,0
Legal minimum age at marriage  by sex,Southern Asia,524,Nepal,Female,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,524,Nepal,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,20,0,0
Legal minimum age at marriage  by sex,Southern Asia,524,Nepal,Male,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,586,Pakistan,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Southern Asia,586,Pakistan,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Southern Asia,586,Pakistan,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Southern Asia,586,Pakistan,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,8,Albania,Female,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,8,Albania,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,8,Albania,Male,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,8,Albania,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,20,Andorra,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,20,Andorra,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,20,Andorra,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,20,Andorra,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,36,Australia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,36,Australia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,36,Australia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,36,Australia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,40,Austria,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,40,Austria,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,40,Austria,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,40,Austria,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,56,Belgium,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,56,Belgium,Female,Minimum age for legal marriage - With parental consent,Both at least 18 years,<18,0,0
Legal minimum age at marriage  by sex,Developed regions,56,Belgium,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,56,Belgium,Male,Minimum age for legal marriage - With parental consent,Both at least 18 years,<18,0,0
Legal minimum age at marriage  by sex,Developed regions,60,Bermuda,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,60,Bermuda,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,60,Bermuda,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,60,Bermuda,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,70,Bosnia and Herzegovina,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,70,Bosnia and Herzegovina,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,70,Bosnia and Herzegovina,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,70,Bosnia and Herzegovina,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,100,Bulgaria,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,100,Bulgaria,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,100,Bulgaria,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,100,Bulgaria,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,112,Belarus,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,In compliance with the Marriage and Family Code of the Republic of Belarus  in the exclusive cases related to pregnancy  childbirth  and in case of acquiring by a juvenile of a full legal capacity under lawful age  the civil registration offices are in a position to reduce the marriage age of espousing persons  but not more than by 3 years. The marriage age is to be reduced by an application of espousing persons; the parental consent is not required.,0
Legal minimum age at marriage  by sex,Developed regions,112,Belarus,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,In compliance with the Marriage and Family Code of the Republic of Belarus  in the exclusive cases related to pregnancy  childbirth  and in case of acquiring by a juvenile of a full legal capacity under lawful age  the civil registration offices are in a position to reduce the marriage age of espousing persons  but not more than by 3 years. The marriage age is to be reduced by an application of espousing persons; the parental consent is not required.,Data not available
Legal minimum age at marriage  by sex,Developed regions,112,Belarus,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,In compliance with the Marriage and Family Code of the Republic of Belarus  in the exclusive cases related to pregnancy  childbirth  and in case of acquiring by a juvenile of a full legal capacity under lawful age  the civil registration offices are in a position to reduce the marriage age of espousing persons  but not more than by 3 years. The marriage age is to be reduced by an application of espousing persons; the parental consent is not required.,0
Legal minimum age at marriage  by sex,Developed regions,112,Belarus,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,In compliance with the Marriage and Family Code of the Republic of Belarus  in the exclusive cases related to pregnancy  childbirth  and in case of acquiring by a juvenile of a full legal capacity under lawful age  the civil registration offices are in a position to reduce the marriage age of espousing persons  but not more than by 3 years. The marriage age is to be reduced by an application of espousing persons; the parental consent is not required.,Data not available
Legal minimum age at marriage  by sex,Developed regions,124,Canada,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Marriage is under provincial and territory legislations. Without parental consent  the minimum legal age at which marriage can take place is 18 years of age in all provinces and territories in Canada except in British Columbia  Newfoundland and Labrador  Nova Scotia  Nunavut  and Yukon where the minimum legal age is 19 years. With parental consent  the minimum legal age is 16 years in all provinces except in Northwest Territories  Nunavut  and Yukon. With parental consent  in Northwest Territories  and Yukon the minimum legal age is 15 years whereas in Nunavut  the minimum legal age is 18 years.  ,0
Legal minimum age at marriage  by sex,Developed regions,124,Canada,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Marriage is under provincial and territory legislations. Without parental consent  the minimum legal age at which marriage can take place is 18 years of age in all provinces and territories in Canada except in British Columbia  Newfoundland and Labrador  Nova Scotia  Nunavut  and Yukon where the minimum legal age is 19 years. With parental consent  the minimum legal age is 16 years in all provinces except in Northwest Territories  Nunavut  and Yukon. With parental consent  in Northwest Territories  and Yukon the minimum legal age is 15 years whereas in Nunavut  the minimum legal age is 18 years.  ,0
Legal minimum age at marriage  by sex,Developed regions,124,Canada,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Marriage is under provincial and territory legislations. Without parental consent  the minimum legal age at which marriage can take place is 18 years of age in all provinces and territories in Canada except in British Columbia  Newfoundland and Labrador  Nova Scotia  Nunavut  and Yukon where the minimum legal age is 19 years. With parental consent  the minimum legal age is 16 years in all provinces except in Northwest Territories  Nunavut  and Yukon. With parental consent  in Northwest Territories  and Yukon the minimum legal age is 15 years whereas in Nunavut  the minimum legal age is 18 years.  ,0
