31b - Educational attainment (lower secondary) of the population aged 25 and older  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Female,3.49,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Male,4.92,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,4.21,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Female,11.16,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Male,13.62,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Both sexes,12.99,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Female,17.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Male,19.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Both sexes,18.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Female,18.58,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Male,21.21,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Both sexes,19.97,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Female,3.16,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Male,4.66,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Both sexes,3.91,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Female,4.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Male,8.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Both sexes,6.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Female,4.58,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Male,9.94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Both sexes,7.37,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Female,11.45,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Male,12.45,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Both sexes,11.94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Female,31.01,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Male,29.35,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Both sexes,30.14,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Female,46.6,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Male,38.8,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Both sexes,42.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (post-secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Female,50.07,-,-,2,2,-,-,-,-,-,-,-
