"REGION","Région","LOCATION","Pays","INC","Revenu","VAR","Variable","TIME","Année","Value","Flag Codes","Flags"
"ASI","Asie","AUS","Australie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","AUS","Australie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"EUR","Europe","AUT","Autriche","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","AUT","Autriche","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"EUR","Europe","BEL","Belgique","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","BEL","Belgique","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"AME","Amériques","CAN","Canada","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","CAN","Canada","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"EUR","Europe","CZE","République tchèque","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","CZE","République tchèque","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"EUR","Europe","DNK","Danemark","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","DNK","Danemark","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"EUR","Europe","FIN","Finlande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","FIN","Finlande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"EUR","Europe","FRA","France","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","FRA","France","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"EUR","Europe","DEU","Allemagne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","DEU","Allemagne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"EUR","Europe","GRC","Grèce","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"ALL","Toutes les régions","GRC","Grèce","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"EUR","Europe","HUN","Hongrie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","HUN","Hongrie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","ISL","Islande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","ISL","Islande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"EUR","Europe","IRL","Irlande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"ALL","Toutes les régions","IRL","Irlande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"EUR","Europe","ITA","Italie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ALL","Toutes les régions","ITA","Italie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ASI","Asie","JPN","Japon","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ALL","Toutes les régions","JPN","Japon","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ASI","Asie","KOR","Corée","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","KOR","Corée","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"EUR","Europe","LUX","Luxembourg","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"ALL","Toutes les régions","LUX","Luxembourg","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"EUR","Europe","NLD","Pays-Bas","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","NLD","Pays-Bas","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ASI","Asie","NZL","Nouvelle-Zélande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ALL","Toutes les régions","NZL","Nouvelle-Zélande","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"EUR","Europe","NOR","Norvège","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","NOR","Norvège","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"EUR","Europe","POL","Pologne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","POL","Pologne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"EUR","Europe","PRT","Portugal","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","PRT","Portugal","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"EUR","Europe","SVK","République slovaque","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","SVK","République slovaque","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"EUR","Europe","ESP","Espagne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","ESP","Espagne","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"EUR","Europe","SWE","Suède","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","SWE","Suède","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","CHE","Suisse","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","CHE","Suisse","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"EUR","Europe","GBR","Royaume-Uni","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"ALL","Toutes les régions","GBR","Royaume-Uni","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"AME","Amériques","USA","États-Unis","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","USA","États-Unis","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"AME","Amériques","ARG","Argentine","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","ARG","Argentine","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"AME","Amériques","BHS","Bahamas","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.52,,
"ALL","Toutes les régions","BHS","Bahamas","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.52,,
"AME","Amériques","BRB","Barbade","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.49,,
