"REGION","Region","INCOME","Groupe de revenus","VARIABLE","Variable","LOCATION","Pays","YEAR","Année","Value","Flag Codes","Flags"
"7","Europe","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","GRC","Grèce","2007","2007",95.9861,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","GRC","Grèce","2007","2007",95.9861,,
"7","Europe","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","ITA","Italie","2007","2007",98.637,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","ITA","Italie","2007","2007",98.637,,
"7","Europe","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","PRT","Portugal","2007","2007",93.3245,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","PRT","Portugal","2007","2007",93.3245,,
"7","Europe","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","ESP","Espagne","2007","2007",97.260323,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","ESP","Espagne","2007","2007",97.260323,,
"4","Moyen-Orient et Afrique du Nord","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","BHR","Bahreïn","2007","2007",86.4279,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","BHR","Bahreïn","2007","2007",86.4279,,
"4","Moyen-Orient et Afrique du Nord","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","KWT","Koweït","2007","2007",93.118257,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","KWT","Koweït","2007","2007",93.118257,,
"1","Asie de l'Est et Pacifique","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","SGP","Singapour","2007","2007",91.577,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","SGP","Singapour","2007","2007",91.577,,
"3","Europe et Asie Centrale","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","SVN","Slovénie","2007","2007",99.6462,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","EDU_1","Taux d'alphabétisation des femmes (%)","SVN","Slovénie","2007","2007",99.6462,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","HUN","Hongrie","2007","2007",98.8152,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","HUN","Hongrie","2007","2007",98.8152,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MEX","Mexique","2007","2007",91.355551,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MEX","Mexique","2007","2007",91.355551,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","POL","Pologne","2007","2007",99.0238,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","POL","Pologne","2007","2007",99.0238,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","ARG","Argentine","2007","2007",97.6775,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","ARG","Argentine","2007","2007",97.6775,,
"6","Afrique sub-saharienne","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","BWA","Botswana","2007","2007",82.9087,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","BWA","Botswana","2007","2007",82.9087,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","CHL","Chili","2007","2007",96.4953,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","CHL","Chili","2007","2007",96.4953,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","CRI","Costa Rica","2007","2007",96.1665,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","CRI","Costa Rica","2007","2007",96.1665,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","HRV","Croatie","2007","2007",98.0407,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","HRV","Croatie","2007","2007",98.0407,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","EST","Estonie","2007","2007",99.8112,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","EST","Estonie","2007","2007",99.8112,,
"6","Afrique sub-saharienne","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","GAB","Gabon","2007","2007",82.1781,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","GAB","Gabon","2007","2007",82.1781,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LVA","Lettonie","2007","2007",99.7868,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LVA","Lettonie","2007","2007",99.7868,,
"4","Moyen-Orient et Afrique du Nord","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LBN","Liban","2007","2007",85.967782,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LBN","Liban","2007","2007",85.967782,,
"4","Moyen-Orient et Afrique du Nord","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LBY","Libye","2007","2007",78.4437,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LBY","Libye","2007","2007",78.4437,,
"3","Europe et Asie Centrale","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LTU","Lituanie","2007","2007",99.699,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","LTU","Lituanie","2007","2007",99.699,,
"1","Asie de l'Est et Pacifique","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MYS","Malaisie","2007","2007",89.5581,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MYS","Malaisie","2007","2007",89.5581,,
"6","Afrique sub-saharienne","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MUS","Maurice","2007","2007",84.6995,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","MUS","Maurice","2007","2007",84.6995,,
"4","Moyen-Orient et Afrique du Nord","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","OMN","Oman","2007","2007",77.4952,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","OMN","Oman","2007","2007",77.4952,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","PAN","Panama","2007","2007",92.7682,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","PAN","Panama","2007","2007",92.7682,,
"4","Moyen-Orient et Afrique du Nord","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","SAU","Arabie saoudite","2007","2007",79.4134,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","SAU","Arabie saoudite","2007","2007",79.4134,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","TTO","Trinité-et-Tobago","2007","2007",98.3104,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","TTO","Trinité-et-Tobago","2007","2007",98.3104,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","URY","Uruguay","2007","2007",98.241934,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","URY","Uruguay","2007","2007",98.241934,,
"2","Amérique latine et Caraïbes","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","VEN","Venezuela","2007","2007",94.929643,,
"9","Toutes les régions","2","Pays à revenu moyen haut (PRMH)","EDU_1","Taux d'alphabétisation des femmes (%)","VEN","Venezuela","2007","2007",94.929643,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TUR","Turquie","2007","2007",81.263827,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TUR","Turquie","2007","2007",81.263827,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ALB","Albanie","2007","2007",98.7691,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ALB","Albanie","2007","2007",98.7691,,
"4","Moyen-Orient et Afrique du Nord","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","DZA","Algérie","2007","2007",66.4278,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","DZA","Algérie","2007","2007",66.4278,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ARM","Arménie","2007","2007",99.3239,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ARM","Arménie","2007","2007",99.3239,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BLR","Bélarus","2007","2007",99.6506,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BLR","Bélarus","2007","2007",99.6506,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BOL","Bolivie","2007","2007",85.985939,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BOL","Bolivie","2007","2007",85.985939,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BRA","Brésil","2007","2007",90.228007,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BRA","Brésil","2007","2007",90.228007,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BGR","Bulgarie","2007","2007",97.9347,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","BGR","Bulgarie","2007","2007",97.9347,,
"1","Asie de l'Est et Pacifique","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","CHN","Chine (République populaire de)","2007","2007",89.9984,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","CHN","Chine (République populaire de)","2007","2007",89.9984,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","COL","Colombie","2007","2007",92.845624,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","COL","Colombie","2007","2007",92.845624,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","CUB","Cuba","2007","2007",99.7827,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","CUB","Cuba","2007","2007",99.7827,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","DOM","République dominicaine","2007","2007",89.5082,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","DOM","République dominicaine","2007","2007",89.5082,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ECU","Équateur","2007","2007",81.680587,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ECU","Équateur","2007","2007",81.680587,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","SLV","El Salvador","2007","2007",79.662128,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","SLV","El Salvador","2007","2007",79.662128,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","GTM","Guatemala","2007","2007",68.0186,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","GTM","Guatemala","2007","2007",68.0186,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","HND","Honduras","2007","2007",83.452774,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","HND","Honduras","2007","2007",83.452774,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","JAM","Jamaïque","2007","2007",91.0942,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","JAM","Jamaïque","2007","2007",91.0942,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","KAZ","Kazakhstan","2007","2007",99.4812,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","KAZ","Kazakhstan","2007","2007",99.4812,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","MKD","Ex-République yougoslave de Macédoine","2007","2007",95.4143,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","MKD","Ex-République yougoslave de Macédoine","2007","2007",95.4143,,
"4","Moyen-Orient et Afrique du Nord","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","MAR","Maroc","2007","2007",43.2176,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","MAR","Maroc","2007","2007",43.2176,,
"6","Afrique sub-saharienne","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","NAM","Namibie","2007","2007",87.3726,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","NAM","Namibie","2007","2007",87.3726,,
"4","Moyen-Orient et Afrique du Nord","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PSE","AutoritT palestinienne ou Cisjordanie et bande de Gaza","2007","2007",90.333662,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PSE","AutoritT palestinienne ou Cisjordanie et bande de Gaza","2007","2007",90.333662,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PRY","Paraguay","2007","2007",93.45327,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PRY","Paraguay","2007","2007",93.45327,,
"2","Amérique latine et Caraïbes","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PER","Pérou","2007","2007",84.646878,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PER","Pérou","2007","2007",84.646878,,
