"REG","Région","LOCATION","Pays","INC","Groupe de revenus","VAR","Variables","TIME","Année","Value","Flag Codes","Flags"
"ECA","Europe and Central Asia","CYP","Chypre","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.14,,
"EAP","Asie de l'Est et Pacifique","HKG","Hong Kong, Chine","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.22,,
"MENA","Moyen-Orient et Afrique du Nord","KWT","Koweït","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.36,,
"MENA","Moyen-Orient et Afrique du Nord","QAT","Qatar","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.28,,
"ECA","Europe and Central Asia","RUS","Russie","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.23,,
"MENA","Moyen-Orient et Afrique du Nord","SAU","Arabie saoudite","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.6,,
"EAP","Asie de l'Est et Pacifique","SGP","Singapour","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.26,,
"LAC","Amérique latine et Caraïbes","TTO","Trinité-et-Tobago","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.06,,
"LAC","Amérique latine et Caraïbes","URY","Uruguay","HIN","Pays à haut revenu: non-OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.09,,
"EAP","Asie de l'Est et Pacifique","AUS","Australie","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.04,,
"NA","Amérique du Nord","CAN","Canada","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.05,,
"ECA","Europe and Central Asia","FIN","Finlande","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.06,,
"ECA","Europe and Central Asia","FRA","France","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.07,,
"ECA","Europe and Central Asia","DEU","Allemagne","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.16,,
"ECA","Europe and Central Asia","ITA","Italie","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.08,,
"EAP","Asie de l'Est et Pacifique","JPN","Japon","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.16,,
"EAP","Asie de l'Est et Pacifique","KOR","Corée","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.26,,
"ECA","Europe and Central Asia","NLD","Pays-Bas","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.05,,
"EAP","Asie de l'Est et Pacifique","NZL","Nouvelle-Zélande","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.05,,
"ECA","Europe and Central Asia","NOR","Norvège","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.04,,
"ECA","Europe and Central Asia","POL","Pologne","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.12,,
"ECA","Europe and Central Asia","ESP","Espagne","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.12,,
"ECA","Europe and Central Asia","SWE","Suède","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.03,,
"ECA","Europe and Central Asia","CHE","Suisse","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.09,,
"ECA","Europe and Central Asia","GBR","Royaume-Uni","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.07,,
"NA","Amérique du Nord","USA","États-Unis","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.07,,
"LAC","Amérique latine et Caraïbes","CHL","Chili","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.2,,
"ECA","Europe and Central Asia","EST","Estonie","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.16,,
"ECA","Europe and Central Asia","SVN","Slovénie","HIO","Pays à haut revenu: OCDE","SB_3","Préférences liées à l'éducation ","2014","2014",0.08,,
"SA","Asie du Sud","BGD","Bangladesh","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.62,,
"SSA","Afrique Sub-Saharienne","BFA","Burkina Faso","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.33,,
"SSA","Afrique Sub-Saharienne","ETH","Éthiopie","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.08,,
"SSA","Afrique Sub-Saharienne","MLI","Mali","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.47,,
"SSA","Afrique Sub-Saharienne","RWA","Rwanda","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.36,,
"SSA","Afrique Sub-Saharienne","TZA","Tanzanie","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.15,,
"SSA","Afrique Sub-Saharienne","UGA","Ouganda","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.23,,
"SSA","Afrique Sub-Saharienne","ZWE","Zimbabwe","LIN","Pays à faible revenu","SB_3","Préférences liées à l'éducation ","2014","2014",0.16,,
"ECA","Europe and Central Asia","ARM","Arménie","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.25,,
"MENA","Moyen-Orient et Afrique du Nord","EGY","Égypte","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.36,,
"ECA","Europe and Central Asia","GEO","Géorgie","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.23,,
"SSA","Afrique Sub-Saharienne","GHA","Ghana","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.3,,
"LAC","Amérique latine et Caraïbes","GTM","Guatemala","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.19,,
"SA","Asie du Sud","IND","Inde","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.39,,
"EAP","Asie de l'Est et Pacifique","IDN","Indonésie","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.19,,
"ECA","Europe and Central Asia","KGZ","Kirghizistan","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.41,,
"ECA","Europe and Central Asia","MDA","Moldova","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.17,,
"MENA","Moyen-Orient et Afrique du Nord","MAR","Maroc","LMI","Pays à revenu moyen bas","SB_3","Préférences liées à l'éducation ","2014","2014",0.2,,
