"REGION","Region","INCOME","Groupe de revenus","VARIABLE","Variable","LOCATION","Pays","YEAR","Année","Value","Flag Codes","Flags"
"1","Asie de l'Est et Pacifique","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","AUS","Australie","2006","2006",38,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","AUS","Australie","2006","2006",38,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","AUT","Autriche","2006","2006",29,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","AUT","Autriche","2006","2006",29,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","BEL","Belgique","2006","2006",31,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","BEL","Belgique","2006","2006",31,,
"8","Amérique du Nord","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","CAN","Canada","2006","2006",36,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","CAN","Canada","2006","2006",36,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","DNK","Danemark","2006","2006",25,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","DNK","Danemark","2006","2006",25,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","FIN","Finlande","2006","2006",30,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","FIN","Finlande","2006","2006",30,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","FRA","France","2006","2006",38,,
"9","Toutes les régions","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","FRA","France","2006","2006",38,,
"7","Europe","1","Pays à haut revenu (PHR)","ECO_2","% de femmes parmi les parlementaires, hauts fonctionnaires et directeurs","DEU","Allemagne","2006","2006",38,,
