"COU","Pays","IND","Indicator","YEAR","Année","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","EMP_AGE_18_34","Share of people employed in the central government aged 18-34 years old","2015","2015","PER","Personnes","0","Unités",,,26.42,,
"AUS","Australie","EMP_AGE_35_44","Share of people employed in the central government aged 35-54 years old","2015","2015","PER","Personnes","0","Unités",,,56.56,,
"AUS","Australie","EMP_AGE_55","Share of people employed in the central government aged 55 years or older","2010","2010","PER","Personnes","0","Unités",,,13.71,,
"AUS","Australie","EMP_AGE_55","Share of people employed in the central government aged 55 years or older","2015","2015","PER","Personnes","0","Unités",,,17.03,,
"AUS","Australie","EMP_AGE_55S","Share of people employed in the central government aged 55 years or older, senior managers","2015","2015","PER","Personnes","0","Unités",,,39.62,,
"AUS","Australie","EMPWCG","Share of central government employment filled by women","2015","2015","PER","Personnes","0","Unités",,,58.44,,
"AUS","Australie","EMPW_SM","Share of central government employment filled by women by occupation groups, senior management","2010","2010","PER","Personnes","0","Unités",,,32.2,,
"AUS","Australie","EMPW_SM","Share of central government employment filled by women by occupation groups, senior management","2015","2015","PER","Personnes","0","Unités",,,36.58,,
"AUS","Australie","EMPW_MM","Share of central government employment filled by women by occupation groups, middle management","2015","2015","PER","Personnes","0","Unités",,,42.35,,
"AUS","Australie","EMPW_PARL","Share of women parliamentarians","2015","2015","PC","Pourcentage","0","Unités",,,26.7,,
"AUS","Australie","EMPW_MIN","Share of women ministers","2015","2015","PC","Pourcentage","0","Unités",,,17.2,,
"AUS","Australie","COMP_D1","Average annual compensation of central government senior managers, D1 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,511947.37,,
"AUS","Australie","COMP_D1_WS","Average wages and salaries of central government senior managers, D1 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,400696.97,,
"AUS","Australie","COMP_D1_ESC","Average employers'social contributions of central government senior managers, D1 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,48414.12,,
"AUS","Australie","COMP_D1_WT","Average working time correction of central government senior managers, D1 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,62836.28,,
"AUS","Australie","COMP_D2","Average annual compensation of central government senior managers, D2 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,231956.5,,
"AUS","Australie","COMP_D2_WS","Average wages and salaries of central government senior managers, D2 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,174642.26,,
"AUS","Australie","COMP_D2_ESC","Average employers'social contributions of central government senior managers, D2 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,28843.97,,
"AUS","Australie","COMP_D2_WT","Average working time correction of central government senior managers, D2 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,28470.28,,
"AUS","Australie","RCD1_GDP","Average annual compensation of central government senior officials, D1 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Unités",,,10.15,,
"AUS","Australie","RCD2_GDP","Average annual compensation of central government senior officials, D2 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Unités",,,4.6,,
"AUS","Australie","COMP_D3","Average annual compensation of central government middle managers, D3 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,173645.17,,
"AUS","Australie","COMP_D3_WS","Average wages and salaries of central government middle managers, D3 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,130470.02,,
"AUS","Australie","COMP_D3_ESC","Average employers'social contributions of central government middle managers, D3 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,21861.99,,
"AUS","Australie","COMP_D3_WT","Average working time correction of central government middle managers, D3 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,21313.16,,
"AUS","Australie","COMP_D4","Average annual compensation of central government middle managers, D4 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,131321.12,,
"AUS","Australie","COMP_D4_WS","Average wages and salaries of central government middle managers, D4 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,99152.4,,
"AUS","Australie","COMP_D4_ESC","Average employers'social contributions of central government middle managers, D4 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,16050.4,,
"AUS","Australie","COMP_D4_WT","Average working time correction of central government middle managers, D4 position, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,16118.32,,
"AUS","Australie","RCD3_GDP","Average annual compensation of central government middle officials, D3 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Unités",,,3.44,,
"AUS","Australie","RCD4_GDP","Average annual compensation of central government middle officials, D4 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Unités",,,2.6,,
"AUS","Australie","COMP_SEC","Average annual compensation of employees in secretarial positions, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,61819.9,,
"AUS","Australie","COMP_SEC_WS","Average wages and salaries of employees in secretarial positions, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,43519.56,,
"AUS","Australie","COMP_SEC_ESC","Average employers'social contributions of employees in secretarial positions, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,7323.07,,
"AUS","Australie","COMP_SEC_WT","Average working time correction of employees in secretarial positions, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,10977.27,,
"AUS","Australie","RCSEC_GDP","Average annual compensation of employees in secretarial positions, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Unités",,,1.15,,
"AUS","Australie","COMP_PI_DET","Average annual compensation of employees in service delivery occupations, police inspectors and detectives, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,115938.09,,
"AUS","Australie","COMP_PO","Average annual compensation of employees in service delivery occupations, police officers, USD PPP","2015","2015","USD","Dollar des États-Unis","0","Unités",,,82867.71,,
