année,,,,,pays,formulation,map_value,value
2014,"2,410","1,962","2,225",-18.6,France,Différence de salaires des femmes par rapport aux hommes,0.9294605809,-18.59%
2013,"2,389","1,935","2,202",-19.0,France,Différence de salaires des femmes par rapport aux hommes,0.9522812892,-19.05%
2012,"2,378","1,917","2,190",-19.4,France,Différence de salaires des femmes par rapport aux hommes,0.9693019344,-19.39%
2011,"2,304","1,856","2,121",-19.5,France,Différence de salaires des femmes par rapport aux hommes,0.9725513171,-19.45%
2010,"2,266","1,815","2,081",-19.9,France,Différence de salaires des femmes par rapport aux hommes,0.9934982101,-19.87%
2009,"2,223","1,777","2,041",-20.1,France,Différence de salaires des femmes par rapport aux hommes,1.002812022,-20.06%
2008,"2,201","1,742","2,016",-20.9,France,Différence de salaires des femmes par rapport aux hommes,1.042913152,-20.86%
2007,"2,145","1,736","2,000",-19.1,France,Différence de salaires des femmes par rapport aux hommes,0.9533799534,-19.07%
2006,"2,075","1,683","1,938",-18.9,France,Différence de salaires des femmes par rapport aux hommes,0.9439007399,-18.88%
2005,"2,037","1,652","1,904",-18.9,France,Différence de salaires des femmes par rapport aux hommes,0.9465379791,-18.93%
2000,"1,825","1,459","1,700",-20.0,France,Différence de salaires des femmes par rapport aux hommes,1.000959167,-20.02%
