pays,année,,formulation,,value,map_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",-0.5,-0.5%,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",2.0,2.0%,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",1.0,1.0%,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.2,0.2%,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",0.3,0.3%,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",2.9,2.9%,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",0.1,0.1%,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",2.5,2.5%,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.4,2.4%,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.9,0.9%,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",0.5,0.5%,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",6.3,6.3%,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",0.0,0.0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",1.5,1.5%,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.1,2.1%,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.7,0.7%,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",0.6,0.6%,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",4.6,4.6%,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",0.8,0.8%,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",3.4,3.4%,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.5,2.5%,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.5,0.5%,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",0.6,0.6%,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",5.2,5.2%,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
