,,,,,,,,,,,,,,formulation,,value,map_value,année,pays
,,,,,,,,,,,,,,,,,,,
Figure 1 : Plus d’une femme sur cinq en université de lettres et de sciences humaines,,,,,,,,,,,,,,,,,,,
Répartition des femmes et des hommes par filière de l’enseignement supérieur en 2013 (en %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Part des femmes ,,,,,,Part des hommes,,,,,,,,,,,
,"Pays de la 
Loire",,,"France 
métropolitaine",,,,,,"France 
métropolitaine",,,,,,,,,
"Université - lettres, sciences humaines",,21.5,,,23.7,,,10.4,,,12.5,,,"Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Université - lettres, sciences humaines",11.2,+11.2%,1,2013,France
"Université - droit, économie, administration",,14.2,,,17.4,,,11.4,,,14.8,,,"Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Université - droit, économie, administration",2.6,+2.6%,0.2321428571,2013,France
Sections de techniciens supérieurs et assimilés (BTS),,12.6,,,9.4,,,14.7,,,11.4,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Sections de techniciens supérieurs et assimilés (BTS),-2.0,-2%,0.1785714286,2013,France
"Université - médecine, odontologie, pharmacie",,10.4,,,10.2,,,7.0,,,7.4,,,"Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Université - médecine, odontologie, pharmacie",2.8,+2.8%,0.25,2013,France
"Université - sciences, STAPS",,"   7,5",,,8.2,,,14.8,,,16.5,,,"Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Université - sciences, STAPS",-8.3,-8.3%,0.7410714286,2013,France
Formations paramédicales et sociales,,"    6,9",,,8.3,,,1.5,,,1.9,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Formations paramédicales et sociales,6.4,+6.4%,0.5714285714,2013,France
"Écoles de commerce, gestion et comptabilité",,"    4,0",,,5.0,,,5.1,,,6.3,,,"Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Écoles de commerce, gestion et comptabilité",-1.3,-1.3%,0.1160714286,2013,France
Formations d'ingénieurs,,"    3,5",,,2.8,,,12.0,,,9.3,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Formations d'ingénieurs,-6.5,-6.5%,0.5803571429,2013,France
Instituts universitaires de technologie (DUT),,"     2,9",,,3.4,,,6.4,,,6.5,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Instituts universitaires de technologie (DUT),-3.1,-3.1%,0.2767857143,2013,France
Classes préparatoires aux grandes écoles,,2.2,,,2.6,,,4.9,,,4.5,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Classes préparatoires aux grandes écoles,-1.9,-1.9%,0.1696428571,2013,France
Autres formations non universitaires,,14.5,,,9.0,,,11.8,,,8.9,,,Taux des femmes par rapport aux hommes dans l’enseignement supérieur : Autres formations non universitaires,0.1,+0.1%,0.008928571429,2013,France
