année,pays,formulation,value,map_value,,,,,
2014,Auvergne-Rhône-Alpes,Écart Femmes-Hommes salaire net annuel moyen ,-20.71%,0.8,-20.7,-21.0,-21.2,-21.9,-27.6
2014,Bourgogne-Franche-Comté,Écart Femmes-Hommes salaire net annuel moyen ,-19.51%,0.7,-19.5,-19.8,-21.6,-22.2,-26.6
2014,Bretagne,Écart Femmes-Hommes salaire net annuel moyen ,-18.88%,0.7,-18.9,-19.2,-21.2,-22.1,-25.8
2014,Centre-Val de Loire,Écart Femmes-Hommes salaire net annuel moyen ,-18.28%,0.7,-18.3,-18.6,-20.9,-21.7,-24.0
2014,Corse,Écart Femmes-Hommes salaire net annuel moyen ,-15.87%,0.6,-15.9,-16.0,-20.7,-20.6,-22.1
2014,Grand Est,Écart Femmes-Hommes salaire net annuel moyen ,-20.26%,0.7,-20.3,-20.5,-21.3,-21.9,-27.4
2014,Hauts-de-France,Écart Femmes-Hommes salaire net annuel moyen ,-18.21%,0.7,-18.2,-18.5,-21.0,-21.5,-25.8
2014,Ile-de-France,Écart Femmes-Hommes salaire net annuel moyen ,-18.5%,0.7,-18.5,-19.2,-22.0,-22.9,-22.8
2014,Normandie,Écart Femmes-Hommes salaire net annuel moyen ,-19.26%,0.7,-19.3,-19.8,-21.4,-22.1,-26.3
2014,Nouvelle-Aquitaine,Écart Femmes-Hommes salaire net annuel moyen ,-17.78%,0.6,-17.8,-18.1,-21.8,-22.6,-23.9
2014,Occitanie,Écart Femmes-Hommes salaire net annuel moyen ,-19.66%,0.7,-19.7,-20.4,-20.7,-21.6,-26.2
2014,Pays de la Loire,Écart Femmes-Hommes salaire net annuel moyen ,-19.36%,0.7,-19.4,-19.6,-21.1,-21.7,-27.0
2014,Provence-Alpes-Côte d'Azur,Écart Femmes-Hommes salaire net annuel moyen ,-20.46%,0.7,-20.5,-20.9,-21.8,-22.6,-26.3
2014,France de province,Écart Femmes-Hommes salaire net annuel moyen ,-19.4%,0.7,-19.4,-19.8,-21.2,-21.9,-26.2
2014,France métropolitaine,Écart Femmes-Hommes salaire net annuel moyen ,-18.76%,0.7,-18.8,-19.2,-20.1,-20.9,-25.1
2014,Guadeloupe,Écart Femmes-Hommes salaire net annuel moyen ,-10.8%,0.4,-10.8,-11.1,-22.0,-21.4,-13.8
2014,Martinique,Écart Femmes-Hommes salaire net annuel moyen ,-10.89%,0.4,-10.9,-11.3,-21.9,-23.2,-14.8
2014,Guyane,Écart Femmes-Hommes salaire net annuel moyen ,-9.59%,0.3,-9.6,-10.0,-20.0,-21.5,-12.2
2014,La Réunion,Écart Femmes-Hommes salaire net annuel moyen ,-8.29%,0.3,-8.3,-8.4,-20.2,-21.5,-12.5
2014,DOM,Écart Femmes-Hommes salaire net annuel moyen ,-9.37%,0.3,-9.4,-9.7,-20.9,-21.8,-12.9
2014,France,Écart Femmes-Hommes salaire net annuel moyen ,-18.62%,0.7,-18.6,-19.0,-20.1,-20.9,-24.9
2013,Auvergne-Rhône-Alpes,Écart Femmes-Hommes salaire net annuel moyen ,-20.96%,0.8,-21.0,,,,
2013,Bourgogne-Franche-Comté,Écart Femmes-Hommes salaire net annuel moyen ,-19.79%,0.7,-19.8,,,,
2013,Bretagne,Écart Femmes-Hommes salaire net annuel moyen ,-19.24%,0.7,-19.2,,,,
2013,Centre-Val de Loire,Écart Femmes-Hommes salaire net annuel moyen ,-18.63%,0.7,-18.6,,,,
2013,Corse,Écart Femmes-Hommes salaire net annuel moyen ,-16.04%,0.6,-16.0,,,,
2013,Grand Est,Écart Femmes-Hommes salaire net annuel moyen ,-20.52%,0.7,-20.5,,,,
2013,Hauts-de-France,Écart Femmes-Hommes salaire net annuel moyen ,-18.47%,0.7,-18.5,,,,
2013,Ile-de-France,Écart Femmes-Hommes salaire net annuel moyen ,-19.19%,0.7,-19.2,,,,
2013,Normandie,Écart Femmes-Hommes salaire net annuel moyen ,-19.79%,0.7,-19.8,,,,
2013,Nouvelle-Aquitaine,Écart Femmes-Hommes salaire net annuel moyen ,-18.07%,0.7,-18.1,,,,
2013,Occitanie,Écart Femmes-Hommes salaire net annuel moyen ,-20.41%,0.7,-20.4,,,,
2013,Pays de la Loire,Écart Femmes-Hommes salaire net annuel moyen ,-19.64%,0.7,-19.6,,,,
2013,Provence-Alpes-Côte d'Azur,Écart Femmes-Hommes salaire net annuel moyen ,-20.88%,0.8,-20.9,,,,
2013,France de province,Écart Femmes-Hommes salaire net annuel moyen ,-19.76%,0.7,-19.8,,,,
2013,France métropolitaine,Écart Femmes-Hommes salaire net annuel moyen ,-19.19%,0.7,-19.2,,,,
2013,Guadeloupe,Écart Femmes-Hommes salaire net annuel moyen ,-11.14%,0.4,-11.1,,,,
2013,Martinique,Écart Femmes-Hommes salaire net annuel moyen ,-11.29%,0.4,-11.3,,,,
