pays,formulation,année,Hommes,Femmes,difference,value,map_value
France,"Pourcentages des femmes agricultrices exploitantes, par rapport à celui des hommes ",2006,3.4,1.6,-0.36,-36%,0.36
France,"Pourcentages des femmes artisanes, commerçantes, chefs d'entreprises; par rapport à celui des hommes ",2006,8.4,4.0,-0.3548387097,-35.5%,0.35
France,"Pourcentages des femmes cadres et professions intellectuelles supérieures, par rapport à celui des hommes ",2006,18.6,12.5,-0.1961414791,-19.6%,0.2
France,"Pourcentages des femmes professions intermédiaires, par rapport à celui des hommes ",2006,21.7,24.7,0.06465517241,+6.5%,0.06
France,Pourcentages des femmes des employées qualifiées,2006,7.6,25.1,0.5351681957,+53.5%,0.54
France,"Pourcentages des femmes employées non qualifiées, par rapport à celui des hommes ",2006,5.0,22.6,0.6376811594,+63.8%,0.64
France,"Pourcentages des femmes ouvrieres qualifiées, par rapport à celui des hommes ",2006,25.3,3.6,-0.7508650519,-75.1%,0.75
France,"Pourcentages des femmes ouvrieres non qualifiées, par rapport à celui des hommes",2006,10.0,5.7,-0.2738853503,-27.4%,0.27
France,"Pourcentages des femmes agricultrices exploitantes, par rapport à celui des hommes ",2011,2.7,1.2,-0.3846153846,-38.5%,0.38
France,"Pourcentages des femmes artisanes, commerçantes, chefs d'entreprises; par rapport à celui des hommes ",2011,8.9,3.8,-0.4015748031,-40.2%,0.4
France,"Pourcentages des femmes cadres et professions intellectuelles supérieures, par rapport à celui des hommes ",2011,20.3,14.4,-0.1700288184,-17%,0.17
France,"Pourcentages des femmes professions intermédiaires, par rapport à celui des hommes ",2011,22.9,26.0,0.06339468303,+6.3%,0.06
France,Pourcentages des femmes des employées qualifiées,2011,7.2,23.3,0.5278688525,+52.8%,0.53
France,"Pourcentages des femmes employées non qualifiées, par rapport à celui des hommes ",2011,5.5,22.5,0.6071428571,+60.7%,0.61
France,"Pourcentages des femmes ouvrieres qualifiées, par rapport à celui des hommes ",2011,23.3,3.4,-0.7453183521,-74.5%,0.75
France,"Pourcentages des femmes ouvrieres non qualifiées, par rapport à celui des hommes",2011,9.1,5.3,-0.2638888889,-26.4%,0.26
France,"Pourcentages des femmes agricultrices exploitantes, par rapport à celui des hommes ",2016,2.6,1.0,-0.4444444444,-44.4%,0.44
France,"Pourcentages des femmes artisanes, commerçantes, chefs d'entreprises; par rapport à celui des hommes ",2016,9.0,4.0,-0.3846153846,-38.5%,0.38
France,"Pourcentages des femmes cadres et professions intellectuelles supérieures, par rapport à celui des hommes ",2016,20.4,14.9,-0.1558073654,-15.6%,0.16
France,"Pourcentages des femmes professions intermédiaires, par rapport à celui des hommes ",2016,23.6,28.2,0.0888030888,+8.9%,0.09
France,Pourcentages des femmes des employées qualifiées,2016,6.8,21.7,0.5228070175,+52.3%,0.52
France,"Pourcentages des femmes employées non qualifiées, par rapport à celui des hommes ",2016,5.8,21.6,0.5766423358,+57.7%,0.58
France,"Pourcentages des femmes ouvrieres qualifiées, par rapport à celui des hommes ",2016,22.5,3.5,-0.7307692308,-73.1%,0.73
France,"Pourcentages des femmes ouvrieres non qualifiées, par rapport à celui des hommes",2016,9.1,4.8,-0.309352518,-30.9%,0.31
France,,,,,,,
