indicator,country,value,year
Share of female police officers,World,10.1,2003
Share of female police officers,World,10.1,2004
Share of female police officers,World,10.2,2005
Share of female police officers,World,10.3,2006
Share of female police officers,World,10.4,2007
Share of female police officers,World,10.5,2008
Share of female police officers,World,10.6,2009
Share of female police officers,World,10.7,2010
Share of female police officers,World,10.9,2011
Share of female police officers,World,11.4,2012
Share of female police officers,World,11.7,2013
Share of female police officers,World,12.2,2014
Share of female police officers,World,12.2,2015
Share of female police officers,World,12.7,2016
Share of female police officers,World,12.9,2017
Share of female police officers,Sub-Saharan Africa,9.0,2003
Share of female police officers,Sub-Saharan Africa,9.0,2004
Share of female police officers,Sub-Saharan Africa,9.0,2005
Share of female police officers,Sub-Saharan Africa,9.0,2006
Share of female police officers,Sub-Saharan Africa,10.0,2007
Share of female police officers,Sub-Saharan Africa,10.0,2008
Share of female police officers,Sub-Saharan Africa,10.0,2009
Share of female police officers,Sub-Saharan Africa,10.0,2010
Share of female police officers,Sub-Saharan Africa,10.0,2011
Share of female police officers,Sub-Saharan Africa,10.0,2012
Share of female police officers,Sub-Saharan Africa,10.0,2013
Share of female police officers,Sub-Saharan Africa,13.0,2014
Share of female police officers,Sub-Saharan Africa,15.0,2015
Share of female police officers,Sub-Saharan Africa,18.0,2016
Share of female police officers,Sub-Saharan Africa,17.0,2017
Share of female police officers,Latin America and the Caribbean,12.0,2003
Share of female police officers,Latin America and the Caribbean,12.0,2004
Share of female police officers,Latin America and the Caribbean,12.0,2005
Share of female police officers,Latin America and the Caribbean,12.0,2006
Share of female police officers,Latin America and the Caribbean,12.0,2007
Share of female police officers,Latin America and the Caribbean,12.0,2008
Share of female police officers,Latin America and the Caribbean,12.0,2009
Share of female police officers,Latin America and the Caribbean,12.0,2010
Share of female police officers,Latin America and the Caribbean,11.0,2011
Share of female police officers,Latin America and the Caribbean,13.0,2012
Share of female police officers,Latin America and the Caribbean,14.0,2013
Share of female police officers,Latin America and the Caribbean,15.0,2014
Share of female police officers,Latin America and the Caribbean,15.0,2015
Share of female police officers,Latin America and the Caribbean,15.0,2016
Share of female police officers,Latin America and the Caribbean,15.7,2017
Share of female police officers,Europe and Northern America,14.0,2003
Share of female police officers,Europe and Northern America,14.0,2004
Share of female police officers,Europe and Northern America,14.0,2005
Share of female police officers,Europe and Northern America,14.0,2006
Share of female police officers,Europe and Northern America,15.0,2007
Share of female police officers,Europe and Northern America,15.0,2008
Share of female police officers,Europe and Northern America,15.0,2009
Share of female police officers,Europe and Northern America,16.0,2010
Share of female police officers,Europe and Northern America,16.0,2011
Share of female police officers,Europe and Northern America,16.0,2012
Share of female police officers,Europe and Northern America,16.0,2013
Share of female police officers,Europe and Northern America,17.0,2014
Share of female police officers,Europe and Northern America,16.0,2015
Share of female police officers,Europe and Northern America,17.0,2016
Share of female police officers,Europe and Northern America,17.2,2017
Share of female police officers,Australia and New Zealand,30.0,2003
Share of female police officers,Australia and New Zealand,30.0,2004
Share of female police officers,Australia and New Zealand,30.0,2005
Share of female police officers,Australia and New Zealand,30.0,2006
Share of female police officers,Australia and New Zealand,30.0,2007
Share of female police officers,Australia and New Zealand,30.0,2008
Share of female police officers,Australia and New Zealand,30.0,2009
Share of female police officers,Australia and New Zealand,31.0,2010
Share of female police officers,Australia and New Zealand,31.0,2011
Share of female police officers,Australia and New Zealand,31.0,2012
Share of female police officers,Australia and New Zealand,30.0,2013
Share of female police officers,Australia and New Zealand,30.0,2014
Share of female police officers,Australia and New Zealand,31.0,2015
Share of female police officers,Australia and New Zealand,31.0,2016
Share of female police officers,Australia and New Zealand,31.5,2017
Share of female police officers,Central and Southern Asia,4.0,2003
Share of female police officers,Central and Southern Asia,4.0,2004
Share of female police officers,Central and Southern Asia,4.0,2005
Share of female police officers,Central and Southern Asia,4.0,2006
Share of female police officers,Central and Southern Asia,4.0,2007
Share of female police officers,Central and Southern Asia,4.0,2008
Share of female police officers,Central and Southern Asia,4.0,2009
Share of female police officers,Central and Southern Asia,5.0,2010
Share of female police officers,Central and Southern Asia,6.0,2011
Share of female police officers,Central and Southern Asia,6.0,2012
Share of female police officers,Central and Southern Asia,7.0,2013
Share of female police officers,Central and Southern Asia,7.0,2014
Share of female police officers,Central and Southern Asia,7.0,2015
Share of female police officers,Central and Southern Asia,7.0,2016
Share of female police officers,Central and Southern Asia,6.7,2017
Share of female police officers,Northern Africa and Western Asia,3.0,2003
Share of female police officers,Northern Africa and Western Asia,3.0,2004
Share of female police officers,Northern Africa and Western Asia,3.0,2005
Share of female police officers,Northern Africa and Western Asia,3.0,2006
Share of female police officers,Northern Africa and Western Asia,3.0,2007
Share of female police officers,Northern Africa and Western Asia,3.0,2008
Share of female police officers,Northern Africa and Western Asia,3.0,2009
Share of female police officers,Northern Africa and Western Asia,3.0,2010
Share of female police officers,Northern Africa and Western Asia,4.0,2011
Share of female police officers,Northern Africa and Western Asia,4.0,2012
Share of female police officers,Northern Africa and Western Asia,4.0,2013
Share of female police officers,Northern Africa and Western Asia,4.0,2014
Share of female police officers,Northern Africa and Western Asia,4.0,2015
Share of female police officers,Northern Africa and Western Asia,4.0,2016
Share of female police officers,Northern Africa and Western Asia,4.1,2017
Share of female police officers,Eastern and South-Eastern Asia,7.0,2003
Share of female police officers,Eastern and South-Eastern Asia,7.0,2004
Share of female police officers,Eastern and South-Eastern Asia,7.0,2005
Share of female police officers,Eastern and South-Eastern Asia,7.0,2006
Share of female police officers,Eastern and South-Eastern Asia,7.0,2007
Share of female police officers,Eastern and South-Eastern Asia,7.0,2008
Share of female police officers,Eastern and South-Eastern Asia,7.0,2009
Share of female police officers,Eastern and South-Eastern Asia,8.0,2010
Share of female police officers,Eastern and South-Eastern Asia,8.0,2011
Share of female police officers,Eastern and South-Eastern Asia,9.0,2012
Share of female police officers,Eastern and South-Eastern Asia,9.0,2013
Share of female police officers,Eastern and South-Eastern Asia,10.0,2014
Share of female police officers,Eastern and South-Eastern Asia,10.0,2015
Share of female police officers,Eastern and South-Eastern Asia,10.0,2016
Share of female police officers,Eastern and South-Eastern Asia,10.4,2017
