country	year	indicator	value  map_value
France	2014	Population_immigrée_depuis_Portugal---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.5075648222	0.4731991899
France	2014	Population_immigrée_depuis_Italie---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.520208605	0.4963313923
France	2014	Population_immigrée_depuis_Espagne---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.5384202523	0.5658183886
France	2014	Population_immigrée_depuis_Autres_pays_de_l_Union_Européenne_à_27---_part_de_femmes_parmi_les_0.45842861470293	0.5880113161	0.568136196
France	2014	Population_immigrée_depuis_Autres_pays_d_Europe---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.5856529303	0.5353699644
France	2014	Population_immigrée_depuis_Algérie---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.4953695737	0.3601742839
France	2014	Population_immigrée_depuis_Maroc---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.5142349679	0.3206271478
France	2014	Population_immigrée_depuis_Tunisie---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.4003337242	0.3655189246
France	2014	Population_immigrée_depuis_Autres_pays_d_Afrique---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.5680672815	0.3967826124
France	2014	Population_immigrée_depuis_Turquie---_part_de_femmes_parmi_les_actifs_ayant_un_emploi	0.4314373843	0.3908929627
France	2014	Population_immigrée_depuis_Portugal---_part_de_femmes_parmi_les_chômeurs	0.51%	0.01512964448
France	2014	Population_immigrée_depuis_Italie---_part_de_femmes_parmi_les_chômeurs	0.52%	0.04041720991
France	2014	Population_immigrée_depuis_Espagne---_part_de_femmes_parmi_les_chômeurs	0.54%	0.07684050452
France	2014	Population_immigrée_depuis_Autres_pays_de_l_Union_Européenne_à_27---_part_de_femmes_parmi_les_chômeurs	0.59%	0.1760226322
France	2014	Population_immigrée_depuis_Autres_pays_d_Europe---_part_de_femmes_parmi_les_chômeurs	0.59%	0.1713058606
France	2014	Population_immigrée_depuis_Algérie---_part_de_femmes_parmi_les_chômeurs	0.5%	0.009260852562
France	2014	Population_immigrée_depuis_Maroc---_part_de_femmes_parmi_les_chômeurs	0.51%	0.02846993589
France	2014	Population_immigrée_depuis_Tunisie---_part_de_femmes_parmi_les_chômeurs	0.4%	0.1993325516
France	2014	Population_immigrée_depuis_Autres_pays_d_Afrique---_part_de_femmes_parmi_les_chômeurs	0.57%	0.1361345629
France	2014	Population_immigrée_depuis_Turquie---_part_de_femmes_parmi_les_chômeurs	0.43%	0.1371252313
France	2014	Population_immigrée_depuis_Portugal---_part_de_femmes_parmi_les_retraités	0.47%	0.05360162013
France	2014	Population_immigrée_depuis_Italie---_part_de_femmes_parmi_les_retraités	0.5%	0.007337215391
France	2014	Population_immigrée_depuis_Espagne---_part_de_femmes_parmi_les_retraités	0.57%	0.1316367773
France	2014	Population_immigrée_depuis_Autres_pays_de_l_Union_Européenne_à_27---_part_de_femmes_parmi_les_retraités	0.57%	0.136272392
France	2014	Population_immigrée_depuis_Autres_pays_d_Europe---_part_de_femmes_parmi_les_retraités	0.54%	0.07073992881
France	2014	Population_immigrée_depuis_Algérie---_part_de_femmes_parmi_les_retraités	0.36%	0.2796514323
France	2014	Population_immigrée_depuis_Maroc---_part_de_femmes_parmi_les_retraités	0.32%	0.3587457045
France	2014	Population_immigrée_depuis_Tunisie---_part_de_femmes_parmi_les_retraités	0.37%	0.2689621508
France	2014	Population_immigrée_depuis_Autres_pays_d_Afrique---_part_de_femmes_parmi_les_retraités	0.4%	0.2064347752
France	2014	Population_immigrée_depuis_Turquie---_part_de_femmes_parmi_les_retraités	0.39%	0.2182140745
France	2014	Population_immigrée_depuis_Portugal---_part_de_femmes_parmi_les_étudiants	0.52%	0.03624454148
France	2014	Population_immigrée_depuis_Italie---_part_de_femmes_parmi_les_étudiants	0.55%	0.09984845934
France	2014	Population_immigrée_depuis_Espagne---_part_de_femmes_parmi_les_étudiants	0.54%	0.0773480663
France	2014	Population_immigrée_depuis_Autres_pays_de_l_Union_Européenne_à_27---_part_de_femmes_parmi_les_étudiants	0.56%	0.1204876598
France	2014	Population_immigrée_depuis_Autres_pays_d_Europe---_part_de_femmes_parmi_les_étudiants	0.56%	0.1224469756
France	2014	Population_immigrée_depuis_Algérie---_part_de_femmes_parmi_les_étudiants	0.52%	0.03340791606
France	2014	Population_immigrée_depuis_Maroc---_part_de_femmes_parmi_les_étudiants	0.48%	0.03586134611
France	2014	Population_immigrée_depuis_Tunisie---_part_de_femmes_parmi_les_étudiants	0.51%	0.01386036961
France	2014	Population_immigrée_depuis_Autres_pays_d_Afrique---_part_de_femmes_parmi_les_étudiants	0.51%	0.02267297438
France	2014	Population_immigrée_depuis_Turquie---_part_de_femmes_parmi_les_étudiants	0.53%	0.06851618327
France	2014	Population_immigrée_depuis_Portugal---_part_des_femmes_parmi_les_hommes_au_femmes_au_foyer	0.97%	0.9483359746
France	2014	Population_immigrée_depuis_Italie---_part_des_femmes_parmi_les_hommes_au_femmes_au_foyer	0.98%	0.9544764795
