"LOCATION","Pays","INDICATOR","Indicateur","SEX","Sexe","AGE","Age","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2000","2000","PC","Pourcentage","0","Unités",,,4.178,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2001","2001","PC","Pourcentage","0","Unités",,,4.048,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2002","2002","PC","Pourcentage","0","Unités",,,3.918,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2003","2003","PC","Pourcentage","0","Unités",,,3.868,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2004","2004","PC","Pourcentage","0","Unités",,,3.635,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2005","2005","PC","Pourcentage","0","Unités",,,3.613,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2006","2006","PC","Pourcentage","0","Unités",,,3.351,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2007","2007","PC","Pourcentage","0","Unités",,,3.128,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2008","2008","PC","Pourcentage","0","Unités",,,3.198,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2009","2009","PC","Pourcentage","0","Unités",,,3.234,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2010","2010","PC","Pourcentage","0","Unités",,,3.211,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2011","2011","PC","Pourcentage","0","Unités",,,2.882,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2012","2012","PC","Pourcentage","0","Unités",,,2.649,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2013","2013","PC","Pourcentage","0","Unités",,,2.612,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2014","2014","PC","Pourcentage","0","Unités",,,2.465,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2015","2015","PC","Pourcentage","0","Unités",,,2.539,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2000","2000","PC","Pourcentage","0","Unités",,,2.654,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2001","2001","PC","Pourcentage","0","Unités",,,2.662,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2002","2002","PC","Pourcentage","0","Unités",,,2.554,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2003","2003","PC","Pourcentage","0","Unités",,,2.415,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2004","2004","PC","Pourcentage","0","Unités",,,2.307,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2005","2005","PC","Pourcentage","0","Unités",,,2.326,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2006","2006","PC","Pourcentage","0","Unités",,,2.202,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2007","2007","PC","Pourcentage","0","Unités",,,2.038,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2008","2008","PC","Pourcentage","0","Unités",,,2.032,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2009","2009","PC","Pourcentage","0","Unités",,,1.833,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","2010","2010","PC","Pourcentage","0","Unités",,,1.978,,
