pays,annee,nom,value
Auvergne-Rhône-Alpes,2015, taux de scolarisation à 18 ans,"5,3"
Bourgogne-Franche-Comté,2015, taux de scolarisation à 18 ans,"2,4"
Bretagne,2015, taux de scolarisation à 18 ans,"3,3"
Centre-Val de Loire,2015, taux de scolarisation à 18 ans,"5,1"
Corse,2015, taux de scolarisation à 18 ans,"4,4"
Grand Est,2015, taux de scolarisation à 18 ans,"4,0"
Hauts-de-France,2015, taux de scolarisation à 18 ans,"4,9"
Ile-de-France,2015, taux de scolarisation à 18 ans,"4,8"
Normandie,2015, taux de scolarisation à 18 ans,"5,7"
Nouvelle-Aquitaine,2015, taux de scolarisation à 18 ans,"3,9"
Occitanie,2015, taux de scolarisation à 18 ans,"4,7"
Pays de la Loire,2015, taux de scolarisation à 18 ans,"4,5"
Provence-Alpes-Côte d'Azur,2015, taux de scolarisation à 18 ans,"5,9"
France métropolitaine hors Ile-de-France,2015, taux de scolarisation à 18 ans,"4,6"
France métropolitaine,2015, taux de scolarisation à 18 ans,"4,7"
Guadeloupe,2015, taux de scolarisation à 18 ans,"8,7"
Martinique,2015, taux de scolarisation à 18 ans,"9,4"
Guyane,2015, taux de scolarisation à 18 ans,"4,3"
Réunion,2015, taux de scolarisation à 18 ans,"7,6"
Mayotte,2015, taux de scolarisation à 18 ans,"6,0"
Auvergne-Rhône-Alpes,2015, part d’inscrits en bac professionnel,"-8,5"
Bourgogne-Franche-Comté,2017, part d’inscrits en bac professionnel,"-10,1"
Bretagne,2017, part d’inscrits en bac professionnel,"-10,0"
Centre-Val de Loire,2017, part d’inscrits en bac professionnel,"-8,0"
Corse,2017, part d’inscrits en bac professionnel,"-6,6"
Grand Est,2017, part d’inscrits en bac professionnel,"-9,5"
Hauts-de-France,2017, part d’inscrits en bac professionnel,"-9,1"
Ile-de-France,2017, part d’inscrits en bac professionnel,"-8,4"
Normandie,2017, part d’inscrits en bac professionnel,"-10,0"
Nouvelle-Aquitaine,2017, part d’inscrits en bac professionnel,"-9,2"
Occitanie,2017, part d’inscrits en bac professionnel,"-7,4"
Pays de la Loire,2017, part d’inscrits en bac professionnel,"-7,2"
Provence-Alpes-Côte d'Azur,2017, part d’inscrits en bac professionnel,"-7,0"
France métropolitaine hors Ile-de-France,2017, part d’inscrits en bac professionnel,"-8,7"
France métropolitaine,2017, part d’inscrits en bac professionnel,"-8,6"
Guadeloupe,2017, part d’inscrits en bac professionnel,"-16,4"
Martinique,2017, part d’inscrits en bac professionnel,"-14,3"
Guyane,2017, part d’inscrits en bac professionnel,"-11,1"
Réunion,2017, part d’inscrits en bac professionnel,"-10,5"
Mayotte,2017, part d’inscrits en bac professionnel,"-14,0"
Auvergne-Rhône-Alpes,2015, part de diplômés du supérieur chez les 25 à 54 ans,"8,0"
Bourgogne-Franche-Comté,2015, part de diplômés du supérieur chez les 25 à 54 ans,"8,3"
Bretagne,2015, part de diplômés du supérieur chez les 25 à 54 ans,"9,4"
Centre-Val de Loire,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,7"
Corse,2015, part de diplômés du supérieur chez les 25 à 54 ans,"9,1"
Grand Est,2015, part de diplômés du supérieur chez les 25 à 54 ans,"6,2"
Hauts-de-France,2015, part de diplômés du supérieur chez les 25 à 54 ans,"5,9"
Ile-de-France,2015, part de diplômés du supérieur chez les 25 à 54 ans,"4,9"
Normandie,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,5"
Nouvelle-Aquitaine,2015, part de diplômés du supérieur chez les 25 à 54 ans,"8,1"
Occitanie,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,7"
Pays de la Loire,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,5"
Provence-Alpes-Côte d'Azur,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,3"
France métropolitaine hors Ile-de-France,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,5"
France métropolitaine,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,0"
Guadeloupe,2015, part de diplômés du supérieur chez les 25 à 54 ans,"7,4"
Martinique,2015, part de diplômés du supérieur chez les 25 à 54 ans,"8,3"
Guyane,2015, part de diplômés du supérieur chez les 25 à 54 ans,"3,9"
Réunion,2015, part de diplômés du supérieur chez les 25 à 54 ans,"4,0"
Mayotte,2015, part de diplômés du supérieur chez les 25 à 54 ans,"-2,8"
Auvergne-Rhône-Alpes,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-16,9"
Bourgogne-Franche-Comté,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-15,1"
Bretagne,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-11,8"
Centre-Val de Loire,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-13,3"
Corse,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-29,0"
Grand Est,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-18,3"
Hauts-de-France,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-20,5"
Ile-de-France,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-14,6"
Normandie,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-14,0"
Nouvelle-Aquitaine,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-14,9"
Occitanie,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-17,6"
Pays de la Loire,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-11,5"
Provence-Alpes-Côte d'Azur,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-18,7"
France métropolitaine hors Ile-de-France,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-16,8"
France métropolitaine,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-16,4"
Guadeloupe,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-14,3"
Martinique,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-9,7"
Guyane,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-12,3"
Réunion,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-17,0"
Mayotte,2015,taux d’emploi des non diplômés chez les 25 à 54 ans,"-24,9"
