pays,annee,nom,hommes,femmes
France,2008,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"14,3€","11,8€"
France,2009,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"14,5€","12,1€"
France,2010,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"14,7€","12,3€"
France,2011,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"15,0€","12,6€"
France,2012,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"15,5€","13,0€"
France,2013,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"15,6€","13,2€"
France,2014,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"15,7€","13,3€"
France,2015,Secteur privé salaires horaires nets moyens en temps complet des femmes par rapport aux hommes,"15,7€","13,5€"
France,2008,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"12,9€","10,3€"
France,2009,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"13,1€","10,5€"
France,2010,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"13,4€","10,7€"
France,2011,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"13,6€","11,1€"
France,2012,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"14,2€","11,4€"
France,2013,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"14,0€","11,4€"
France,2014,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"14,2€","11,6€"
France,2015,Secteur privé salaires horaires nets moyens en temps non complet des femmes par rapport aux hommes,"14,4€","11,7€"
