annee,pays,nom,part de femmes
2018,France,Part des tâches domestiques réalisées par les femmes,72%
2018,France,"Université Lettres, sciences humaines, part des femmes",69.70%
2018,France,"Formations paramédicales et sociales, part des femmes",84.60%
2018,France,"Université Sciences STAPS, part des femmes",29%
2018,France,"Formations d'ingénieurs, part des femmes",26.90%
2018,France,"Sciences fondamentales et applications,  part des femmes",28%
2018,France,"Travail secteur numérique, part des femmes",15%
2018,France,Part consacrée à la retransmission du sport féminin à la télévision,18%
2018,France,"Expert.e.s à la télévision et à la radio, part des femmes",35%
2018,France,Présence de femmes dans des publicités pour soin du corps,63%
2018,France,Présence de femmes dans des publicités pour du parfum,57%
2018,France,Présence de femmes dans des publicités pour des jeux d'argent,22%
2018,France,Présence de femmes dans des publicités pour des automobiles,36%
2017,France,"Bourse,Entreprises SBF 120, part des femmes",42%
2017,France,"Bourse, Entreprises CAC 40, part des femmes",42%
2017,Italie,"Bourse, Entreprises MIB 40, part des femmes",32.20%
2017,Royaume-Uni,"Bourse, Entreprises FTSE 100, part des femmes",27.10%
2017,Allemagne,"Bourse, Entreprises HDAX, part des femmes",27.10%
2018,France,"Direction, présidence d' établissements en spectacle vivant, part des femmes",9%
2018,France,"Direction, présidence de Musées Nationaux, part des femmes",43%
2018,France,"Direction, présidence d'entreprises de l'audiovisuel public, part des femmes",60%
2016,France,"Cadres techniques, part des femmes",17.80%
2016,France,"Direction technique natiopnale, part des femmes",13.40%
2016,France,"Allocataires du RSA, part des femmes",54%
2016,France,"Bénéficiaires prime d'activité, part des femmes",41.40%
2018,France,"Assemblée Nationale, part des femmes",39.17%
2018,France,"Sénat, part des femmes",31.79%
2018,France,"Gouvernement, part des femmes",50%
2018,France,"Présidences de commissions Assemblée Nationale, part des femmes",41%
2018,France,Présidences de commissions au Sénat part des femmes,33%
2016,France,"Délégations secteur Affaires sociales et santé des conseils régionaux, part des femmes",100%
2016,France,"Délégations secteur Education et lycée des conseils régionaux, part des femmes",54.50%
2016,France,"Délégations secteur Budget et Finances des conseils régionaux, part des femmes",11.10%
2016,France,"Délégations secteur Transport des conseils régionaux, part des femmes",8.30%
2018,France,"Programmation artistique théâtre et danse, part des artistes femmes",34%
2018,France,"Exposition, et acquisition dans les FRAC , part des artistes femmes",23%
2018,France,"Programmation artistique lieux musicaux, part des artistes femmes                ",20%
2016,France,"Réalisation de films longs métrages, part des femmes",21%
2016,France,"Fédérations sportives, licencié.e.s, part des femmes",37.50%
2015,France,"Fonction publique d'État, catégorie A, part des femmes",55%
2015,France,"Fonction publique d'État, catégorie A+, part des femmes",39%
2015,France,"Fonction publique d'État, encadrement supérieur et direction, part des femmes",32%
2015,France,"Fonction publique territoriale, catégorie A, part des femmes",61%
2015,France,"Fonction publique territoriale, catégorie A+, part des femmes",52%
2015,France,"Fonction publique territoriale, encadrement supérieur et direction, part des femmes",29%
2015,France,"Fonction publique hospitalière, catégorie A, part des femmes",47%
2015,France,"Fonction publique hospitalière catégorie A+, part des femmes",45.60%
2015,France,"Fonction publique hospitalière, encadrement supérieur et direction, part des femmes",47%
2017,France,"École Nationale d'adminsitration (ENA), part des femmes",38.75%
