Afrique_du_Sud	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.30%	0.043
Allemagne	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.10%	0.031
Australie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.50%	0.045
Autriche	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.80%	0.027999999999999997
Belgique	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.60%	0.046
Brésil	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.70%	0.007000000000000002
Chili	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.20%	0.012000000000000002
Danemark	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.10%	0.021
Espagne	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.40%	0.024000000000000004
Estonie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-6.00%	0.06
Finlande	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.90%	0.019000000000000003
France	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.50%	0.045
Grèce	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.80%	0.018
Hongrie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.20%	0.012000000000000002
Irlande	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.40%	0.034
Islande	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-5.20%	0.052000000000000005
Israël	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-5.50%	0.05499999999999999
Italie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.20%	0.022000000000000002
Japon	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.80%	0.027999999999999997
Lettonie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.40%	0.014000000000000004
Lituanie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.50%	0.045
Mexique	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.30%	0.0030000000000000027
Norvège	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.10%	0.031000000000000007
Pays-Bas	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.80%	0.04800000000000001
Pologne	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.90%	0.009000000000000003
Portugal	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.30%	0.033
Royaume-Uni	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.80%	0.04799999999999999
Russie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.80%	0.018000000000000006
République_Tchèque	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.00%	0.04
Slovaquie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.70%	0.017
Slovénie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.50%	0.015
Suisse	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.70%	0.037000000000000005
Suède	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.00%	0.02
Turquie	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.80%	0.038
États-Unis	2016	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.00%	0.03
Afrique_du_Sud	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.40%	0.044000000000000004
Allemagne	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.20%	0.032
Autriche	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.00%	0.03
Belgique	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.10%	0.04100000000000001
Brésil	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.70%	0.007000000000000002
Chili	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.30%	0.013000000000000003
Corée_du_Sud	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.50%	0.015
Danemark	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.00%	0.02
Espagne	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.40%	0.024000000000000004
Estonie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.80%	0.04800000000000001
Finlande	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.30%	0.023
France	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.20%	0.041999999999999996
Grèce	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.20%	0.012
Hongrie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.10%	0.010999999999999996
Irlande	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.50%	0.035
Islande	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-6.80%	0.068
Israël	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-5.00%	0.05000000000000001
Italie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.20%	0.022000000000000002
Japon	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.70%	0.027000000000000003
Lettonie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.80%	0.017999999999999988
Lituanie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.50%	0.045
Mexique	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.20%	0.0019999999999999974
Norvège	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.10%	0.030999999999999996
Pays-Bas	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.30%	0.04300000000000001
Pologne	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-0.90%	0.009000000000000003
Portugal	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.60%	0.036
Royaume-Uni	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.80%	0.04800000000000001
République_Tchèque	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.80%	0.038
Slovaquie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.20%	0.022000000000000002
Slovénie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-1.30%	0.012999999999999998
Suisse	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-4.60%	0.046000000000000006
Suède	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.10%	0.020999999999999998
Turquie	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-3.80%	0.038000000000000006
États-Unis	2017	Cadres_supérieurs---_part_des_femmes_par_rapport_à_celle_des_hommes	-2.70%	0.02700000000000001
