pays,annee,nom,valeur
CC Pays de Montereau,2014,Écart femmes-hommes taux d'emploi,"-11,0"
CC de la Haute Vallée de Chevreuse,2014,Écart femmes-hommes taux d'emploi,"-8,9"
CA Roissy Pays de France,2014,Écart femmes-hommes taux d'emploi,"-8,8"
Plaine Commune,2014,Écart femmes-hommes taux d'emploi,"-8,6"
Paris Terres d'Envol,2014,Écart femmes-hommes taux d'emploi,"-8,5"
CC du Pays Houdanais (C.C.P.H.),2014,Écart femmes-hommes taux d'emploi,"-7,9"
CC Brie Nangissienne,2014,Écart femmes-hommes taux d'emploi,"-7,7"
CA du Pays de Fontainebleau,2014,Écart femmes-hommes taux d'emploi,"-7,7"
CC Gally Mauldre,2014,Écart femmes-hommes taux d'emploi,"-7,7"
CC du Provinois,2014,Écart femmes-hommes taux d'emploi,"-7,7"
CC Les Portes de l’Île de France,2014,Écart femmes-hommes taux d'emploi,"-7,5"
CA Melun Val de Seine,2014,Écart femmes-hommes taux d'emploi,"-7,2"
CU Grand Paris Seine et Oise,2014,Écart femmes-hommes taux d'emploi,"-7,1"
CA Versailles Grand Parc (C.A.V.G.P.),2014,Écart femmes-hommes taux d'emploi,"-7,1"
CA Val d'Europe,2014,Écart femmes-hommes taux d'emploi,"-7,1"
CC Gâtinais Val de Loing,2014,Écart femmes-hommes taux d'emploi,"-7,0"
CA Rambouillet Territoires,2014,Écart femmes-hommes taux d'emploi,"-6,9"
CA Grand Paris Sud Seine Essonne Sénart,2014,Écart femmes-hommes taux d'emploi,"-6,8"
CA de Saint-Quentin-en-Yvelines,2014,Écart femmes-hommes taux d'emploi,"-6,7"
CC Sausseron Impressionnistes,2014,Écart femmes-hommes taux d'emploi,"-6,7"
Boucle Nord de Seine,2014,Écart femmes-hommes taux d'emploi,"-6,7"
CC de la Vallée de l'Oise et des Trois Forêts,2014,Écart femmes-hommes taux d'emploi,"-6,5"
CA Marne et Gondoire,2014,Écart femmes-hommes taux d'emploi,"-6,5"
CA Saint-Germain Boucles de Seine,2014,Écart femmes-hommes taux d'emploi,"-6,4"
CC des Deux Morin,2014,Écart femmes-hommes taux d'emploi,"-6,4"
CC l'Orée de la Brie,2014,Écart femmes-hommes taux d'emploi,"-6,3"
CC Pays de Coulommiers,2014,Écart femmes-hommes taux d'emploi,"-6,1"
CC du Pays de l'Ourcq,2014,Écart femmes-hommes taux d'emploi,"-6,1"
Grand Paris - Grand Est,2014,Écart femmes-hommes taux d'emploi,"-6,0"
Grand Paris Sud Est Avenir,2014,Écart femmes-hommes taux d'emploi,"-5,9"
Est Ensemble,2014,Écart femmes-hommes taux d'emploi,"-5,9"
CA Paris - Vallée de la Marne,2014,Écart femmes-hommes taux d'emploi,"-5,8"
CC du Haut Val d'Oise,2014,Écart femmes-hommes taux d'emploi,"-5,8"
CC Bassée-Montois,2014,Écart femmes-hommes taux d'emploi,"-5,7"
CC Pays Créçois,2014,Écart femmes-hommes taux d'emploi,"-5,7"
CC du Pays Fertois,2014,Écart femmes-hommes taux d'emploi,"-5,6"
CC Le Dourdannais en Hurepoix (Ccdh),2014,Écart femmes-hommes taux d'emploi,"-5,6"
CA Étampois Sud-Essonne,2014,Écart femmes-hommes taux d'emploi,"-5,5"
CA Val Parisis,2014,Écart femmes-hommes taux d'emploi,"-5,4"
CC Brie des Rivières et Châteaux,2014,Écart femmes-hommes taux d'emploi,"-5,4"
CC du Pays de Limours (Ccpl),2014,Écart femmes-hommes taux d'emploi,"-5,4"
CC Entre Juine et Renarde (Ccejr),2014,Écart femmes-hommes taux d'emploi,"-5,3"
CC Pays de Nemours,2014,Écart femmes-hommes taux d'emploi,"-5,3"
CC du Vexin-Val de Seine,2014,Écart femmes-hommes taux d'emploi,"-5,1"
Paris Ouest La Défense,2014,Écart femmes-hommes taux d'emploi,"-5,1"
CC des Deux Vallées,2014,Écart femmes-hommes taux d'emploi,"-5,0"
CA Val d'Yerres Val de Seine,2014,Écart femmes-hommes taux d'emploi,"-4,8"
CC Cœur d'Yvelines,2014,Écart femmes-hommes taux d'emploi,"-4,8"
CC Val Briard,2014,Écart femmes-hommes taux d'emploi,"-4,8"
CA Plaine Vallée,2014,Écart femmes-hommes taux d'emploi,"-4,8"
Ville de Paris,2014,Écart femmes-hommes taux d'emploi,"-4,7"
CC Carnelle Pays-De-France,2014,Écart femmes-hommes taux d'emploi,"-4,4"
Paris-Est-Marne et Bois,2014,Écart femmes-hommes taux d'emploi,"-4,4"
CA de Cergy-Pontoise,2014,Écart femmes-hommes taux d'emploi,"-4,4"
CA Communauté Paris-Saclay,2014,Écart femmes-hommes taux d'emploi,"-4,2"
Grand Paris Seine Ouest,2014,Écart femmes-hommes taux d'emploi,"-4,1"
Grand-Orly Seine Bièvre,2014,Écart femmes-hommes taux d'emploi,"-4,1"
CC Plaines et Monts de France,2014,Écart femmes-hommes taux d'emploi,"-4,1"
CC Les Portes Briardes entre Villes et Forêts,2014,Écart femmes-hommes taux d'emploi,"-3,8"
CA du Pays de Meaux,2014,Écart femmes-hommes taux d'emploi,"-3,6"
CC du Val d'Essonne (Ccve),2014,Écart femmes-hommes taux d'emploi,"-3,4"
CC Vexin Centre,2014,Écart femmes-hommes taux d'emploi,"-2,8"
Vallée Sud Grand Paris,2014,Écart femmes-hommes taux d'emploi,"-2,8"
CC Moret Seine et Loing,2014,Écart femmes-hommes taux d'emploi,"-1,9"
CA Cœur d'Essonne,2014,Écart femmes-hommes taux d'emploi,"-1,5"
