pays,annee,nom,valeur
CC Gally Mauldre,2014,Écart femmes-hommes taux de temps partiel,"23,8"
CC Bassée-Montois,2014,Écart femmes-hommes taux de temps partiel,"20,5"
CC du Provinois,2014,Écart femmes-hommes taux de temps partiel,"20,1"
CC du Pays de Limours (Ccpl),2014,Écart femmes-hommes taux de temps partiel,"20,0"
CC Gâtinais Val de Loing,2014,Écart femmes-hommes taux de temps partiel,"19,5"
CC de la Haute Vallée de Chevreuse,2014,Écart femmes-hommes taux de temps partiel,"18,6"
CA Rambouillet Territoires,2014,Écart femmes-hommes taux de temps partiel,"18,5"
CC Le Dourdannais en Hurepoix (Ccdh),2014,Écart femmes-hommes taux de temps partiel,"18,2"
CC Pays de Nemours,2014,Écart femmes-hommes taux de temps partiel,"18,0"
CC du Pays Houdanais (C.C.P.H.),2014,Écart femmes-hommes taux de temps partiel,"17,5"
CC Vexin Centre,2014,Écart femmes-hommes taux de temps partiel,"17,3"
CC Entre Juine et Renarde (Ccejr),2014,Écart femmes-hommes taux de temps partiel,"17,1"
CC Moret Seine et Loing,2014,Écart femmes-hommes taux de temps partiel,"17,0"
CC Cœur d'Yvelines,2014,Écart femmes-hommes taux de temps partiel,"16,8"
CA du Pays de Fontainebleau,2014,Écart femmes-hommes taux de temps partiel,"16,8"
CC de la Vallée de l'Oise et des Trois Forêts,2014,Écart femmes-hommes taux de temps partiel,"16,7"
CC Les Portes de l’Île de France,2014,Écart femmes-hommes taux de temps partiel,"16,3"
CA Versailles Grand Parc (C.A.V.G.P.),2014,Écart femmes-hommes taux de temps partiel,"16,2"
CC du Pays de l'Ourcq,2014,Écart femmes-hommes taux de temps partiel,"16,1"
CC Brie Nangissienne,2014,Écart femmes-hommes taux de temps partiel,"16,1"
CC Brie des Rivières et Châteaux,2014,Écart femmes-hommes taux de temps partiel,"15,8"
CC Pays de Montereau,2014,Écart femmes-hommes taux de temps partiel,"15,7"
CC des Deux Morin,2014,Écart femmes-hommes taux de temps partiel,"15,5"
CC Sausseron Impressionnistes,2014,Écart femmes-hommes taux de temps partiel,"15,4"
CU Grand Paris Seine et Oise,2014,Écart femmes-hommes taux de temps partiel,"15,3"
CA Saint-Germain Boucles de Seine,2014,Écart femmes-hommes taux de temps partiel,"15,3"
CA de Saint-Quentin-en-Yvelines,2014,Écart femmes-hommes taux de temps partiel,"15,0"
CC du Val d'Essonne (Ccve),2014,Écart femmes-hommes taux de temps partiel,"15,0"
CC Val Briard,2014,Écart femmes-hommes taux de temps partiel,"14,7"
CA Melun Val de Seine,2014,Écart femmes-hommes taux de temps partiel,"14,6"
CA Étampois Sud-Essonne,2014,Écart femmes-hommes taux de temps partiel,"14,6"
CC du Pays Fertois,2014,Écart femmes-hommes taux de temps partiel,"14,4"
CC Pays de Coulommiers,2014,Écart femmes-hommes taux de temps partiel,"14,3"
CA Val d'Yerres Val de Seine,2014,Écart femmes-hommes taux de temps partiel,"14,2"
CC Carnelle Pays-De-France,2014,Écart femmes-hommes taux de temps partiel,"14,1"
CC Les Portes Briardes entre Villes et Forêts,2014,Écart femmes-hommes taux de temps partiel,"13,9"
CC du Haut Val d'Oise,2014,Écart femmes-hommes taux de temps partiel,"13,8"
CA de Cergy-Pontoise,2014,Écart femmes-hommes taux de temps partiel,"13,6"
CA Cœur d'Essonne,2014,Écart femmes-hommes taux de temps partiel,"13,6"
CA du Pays de Meaux,2014,Écart femmes-hommes taux de temps partiel,"13,4"
CC du Vexin-Val de Seine,2014,Écart femmes-hommes taux de temps partiel,"13,4"
CA Paris - Vallée de la Marne,2014,Écart femmes-hommes taux de temps partiel,"13,3"
CA Grand Paris Sud Seine Essonne Sénart,2014,Écart femmes-hommes taux de temps partiel,"13,2"
CA Marne et Gondoire,2014,Écart femmes-hommes taux de temps partiel,"13,1"
CC des Deux Vallées,2014,Écart femmes-hommes taux de temps partiel,"13,1"
CC Plaines et Monts de France,2014,Écart femmes-hommes taux de temps partiel,"13,1"
CA Communauté Paris-Saclay,2014,Écart femmes-hommes taux de temps partiel,"12,9"
CA Val Parisis,2014,Écart femmes-hommes taux de temps partiel,"12,9"
CA Plaine Vallée,2014,Écart femmes-hommes taux de temps partiel,"12,5"
CC Pays Créçois,2014,Écart femmes-hommes taux de temps partiel,"12,4"
Vallée Sud Grand Paris,2014,Écart femmes-hommes taux de temps partiel,"12,3"
Paris Terres d'Envol,2014,Écart femmes-hommes taux de temps partiel,"12,2"
Grand Paris - Grand Est,2014,Écart femmes-hommes taux de temps partiel,"12,0"
Grand Paris Seine Ouest,2014,Écart femmes-hommes taux de temps partiel,"11,9"
Grand Paris Sud Est Avenir,2014,Écart femmes-hommes taux de temps partiel,"11,9"
CC l'Orée de la Brie,2014,Écart femmes-hommes taux de temps partiel,"11,8"
CA Roissy Pays de France,2014,Écart femmes-hommes taux de temps partiel,"11,7"
Paris Ouest La Défense,2014,Écart femmes-hommes taux de temps partiel,"11,2"
Plaine Commune,2014,Écart femmes-hommes taux de temps partiel,"11,1"
Boucle Nord de Seine,2014,Écart femmes-hommes taux de temps partiel,"11,1"
Paris-Est-Marne et Bois,2014,Écart femmes-hommes taux de temps partiel,"11,0"
Grand-Orly Seine Bièvre,2014,Écart femmes-hommes taux de temps partiel,"10,9"
Est Ensemble,2014,Écart femmes-hommes taux de temps partiel,"10,8"
CA Val d'Europe,2014,Écart femmes-hommes taux de temps partiel,"10,8"
Ville de Paris,2014,Écart femmes-hommes taux de temps partiel,"9,7"
