pays,annee,nom,valeur
Île-de-France,2014,Part des femmes dans les conseils municipaux,"45,2"
Île-de-France,2014,Part des femmes dans les conseils municipaux moins de 1000 habitants,"37,7"
Île-de-France,2014,Part des femmes dans les conseils municipaux 1000 habitants au plus,"47,8"
France,2014,Part des femmes dans les conseils municipaux,"40,0"
France,2014,Part des femmes dans les conseils municipaux moins de 1000 habitants,"34,5"
France,2014,Part des femmes dans les conseils municipaux 1000 habitants au plus,"47,2"
Île-de-France,2014,Part de femmes maires,"19,8"
Île-de-France,2014,"Part de femmes maires, moins de 1000 habitants","20,0"
Île-de-France,2014,"Part de femmes maires, 1000 habitants au plus","19,7"
France,2014,Part de femmes maires,"16,7"
France,2014,"Part de femmes maires, moins de 1000 habitants","17,6"
France,2014,"Part de femmes maires, 1000 habitants au plus","14,1"
Île-de-France,2014,Part de femmes adjoint·es et conseiller·es ,"46,5"
Île-de-France,2014,"Part de femmes adjoint·es et conseiller·es, moins de 1000 habitants","39,3"
Île-de-France,2014,"Part de femmes adjoint·es et conseiller·es, 1000 habitants au plus","48,8"
France,2014,Part de femmes adjoint·es et conseiller·es ,"41,8"
France,2014,"Part de femmes adjoint·es et conseiller·es, moins de 1000 habitants","36,2"
France,2014,"Part de femmes adjoint·es et conseiller·es, 1000 habitants au plus","48,7"
