"LOCATION","Pays","INDICATOR","Indicateur","SEX","Sexe","AGE","Age","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1991","1991","PC","Pourcentage","0","Unités",,,9.026331,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1992","1992","PC","Pourcentage","0","Unités",,,8.799062,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1993","1993","PC","Pourcentage","0","Unités",,,8.768209,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1994","1994","PC","Pourcentage","0","Unités",,,8.980591,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1995","1995","PC","Pourcentage","0","Unités",,,9.06363,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1996","1996","PC","Pourcentage","0","Unités",,,8.833968,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1997","1997","PC","Pourcentage","0","Unités",,,8.960256,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1998","1998","PC","Pourcentage","0","Unités",,,9.123059,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","1999","1999","PC","Pourcentage","0","Unités",,,8.95822,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2000","2000","PC","Pourcentage","0","Unités",,,9.292164,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2001","2001","PC","Pourcentage","0","Unités",,,9.46055,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2002","2002","PC","Pourcentage","0","Unités",,,9.255911,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2003","2003","PC","Pourcentage","0","Unités",,,9.104682,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2004","2004","PC","Pourcentage","0","Unités",,,9.128036,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2005","2005","PC","Pourcentage","0","Unités",,,9.184709,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2006","2006","PC","Pourcentage","0","Unités",,,8.89999,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2007","2007","PC","Pourcentage","0","Unités",,,8.312415,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2008","2008","PC","Pourcentage","0","Unités",,,8.432326,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2009","2009","PC","Pourcentage","0","Unités",,,8.595926,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2010","2010","PC","Pourcentage","0","Unités",,,8.546878,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2011","2011","PC","Pourcentage","0","Unités",,,8.105651,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2012","2012","PC","Pourcentage","0","Unités",,,8.024387,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2013","2013","PC","Pourcentage","0","Unités",,,7.982447,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2014","2014","PC","Pourcentage","0","Unités",,,7.984218,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2015","2015","PC","Pourcentage","0","Unités",,,7.791142,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2016","2016","PC","Pourcentage","0","Unités",,,7.894125,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","MEN","Men","TOTAL","Total","2017","2017","PC","Pourcentage","0","Unités",,,7.967227,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","1991","1991","PC","Pourcentage","0","Unités",,,5.437706,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","1992","1992","PC","Pourcentage","0","Unités",,,5.277368,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","1993","1993","PC","Pourcentage","0","Unités",,,5.33914,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","1994","1994","PC","Pourcentage","0","Unités",,,5.524444,,
"AUS","Australie","ENT1","Part des personnes en emploi étant employeurs","WOMEN","Women","TOTAL","Total","1995","1995","PC","Pourcentage","0","Unités",,,5.522766,,
