"REG","Région","LOCATION","Pays","INC","Groupe de revenus","VAR","Variables","TIME","Année","Value","Flag Codes","Flags"
"ECA","Europe and Central Asia","CYP","Chypre","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.26,,
"ECA","Europe and Central Asia","LVA","Lettonie","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.47,,
"ECA","Europe and Central Asia","LTU","Lituanie","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.46,,
"MENA","Moyen-Orient et Afrique du Nord","SAU","Arabie saoudite","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.01,,
"LAC","Amérique latine et Caraïbes","TTO","Trinité-et-Tobago","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.15,,
"LAC","Amérique latine et Caraïbes","URY","Uruguay","HIN","Pays à haut revenu: non-OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.18,,
"ECA","Europe and Central Asia","AUT","Autriche","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.31,,
"ECA","Europe and Central Asia","BEL","Belgique","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.14,,
"ECA","Europe and Central Asia","CZE","République tchèque","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.16,,
"ECA","Europe and Central Asia","DNK","Danemark","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.12,,
"ECA","Europe and Central Asia","FIN","Finlande","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.11,,
"ECA","Europe and Central Asia","FRA","France","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.19,,
"ECA","Europe and Central Asia","DEU","Allemagne","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.09,,
"ECA","Europe and Central Asia","GRC","Grèce","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.3,,
"ECA","Europe and Central Asia","IRL","Irlande","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.1,,
"ECA","Europe and Central Asia","ITA","Italie","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.32,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.21,,
"ECA","Europe and Central Asia","NLD","Pays-Bas","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.05,,
"ECA","Europe and Central Asia","NOR","Norvège","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.13,,
"ECA","Europe and Central Asia","POL","Pologne","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.33,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.26,,
"ECA","Europe and Central Asia","SVK","République slovaque","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.18,,
"ECA","Europe and Central Asia","ESP","Espagne","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.27,,
"ECA","Europe and Central Asia","SWE","Suède","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.14,,
"ECA","Europe and Central Asia","GBR","Royaume-Uni","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.18,,
"LAC","Amérique latine et Caraïbes","CHL","Chili","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.3,,
"ECA","Europe and Central Asia","EST","Estonie","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.39,,
"ECA","Europe and Central Asia","SVN","Slovénie","HIO","Pays à haut revenu: OCDE","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.26,,
"SA","Asie du Sud","BGD","Bangladesh","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.03,,
"SSA","Afrique Sub-Saharienne","ETH","Éthiopie","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.19,,
"SSA","Afrique Sub-Saharienne","GMB","Gambie","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.08,,
"SSA","Afrique Sub-Saharienne","GIN","Guinée","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.06,,
"SSA","Afrique Sub-Saharienne","MDG","Madagascar","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.15,,
"SSA","Afrique Sub-Saharienne","MWI","Malawi","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.32,,
"SSA","Afrique Sub-Saharienne","MLI","Mali","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.03,,
"SSA","Afrique Sub-Saharienne","MOZ","Mozambique","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.23,,
"EAP","Asie de l'Est et Pacifique","MMR","Myanmar","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.15,,
"SA","Asie du Sud","NPL","Népal","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.08,,
"SSA","Afrique Sub-Saharienne","TZA","Tanzanie","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.2,,
"SSA","Afrique Sub-Saharienne","UGA","Ouganda","LIN","Pays à faible revenu","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.16,,
"SSA","Afrique Sub-Saharienne","CIV","Côte d'Ivoire","LMI","Pays à revenu moyen bas","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.1,,
"MENA","Moyen-Orient et Afrique du Nord","EGY","Égypte","LMI","Pays à revenu moyen bas","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.05,,
"ECA","Europe and Central Asia","GEO","Géorgie","LMI","Pays à revenu moyen bas","RR_2","Titres fonciers détenus par les femmes","2014","2014",0.29,,
