annee,pays,nom,valeur
2017,France,"Secteur de la musique, Technique, salaire des femmes par rapport aux hommes",-6%
2017,France,"Secteur de la musique, Artiste, salaire des femmes par rapport aux hommes",-9%
2017,France,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-21%
2012,France,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-22%
2007,France,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-19%
2002,France,"Secteur de la musique, Travailleur permanent, salaire des femmes par rapport aux hommes",-18%
2017,France,"Secteur de la musique, Travailleur permanent, 25-35 ans, salaire des femmes par rapport aux hommes",-5%
2017,France,"Secteur de la musique, Travailleur permanent, 35-45 ans, salaire des femmes par rapport aux hommes",-16%
2017,France,"Secteur de la musique, Travailleur permanent, 45-55 ans, salaire des femmes par rapport aux hommes",-26%
2017,France,"Secteur de la musique, Travailleur permanent, plus de 55 ans, salaire des femmes par rapport aux hommes",-34%
2017,France,"Secteur de la musique, Cadre, salaire des femmes par rapport aux hommes",-18%
2017,France,"Secteur de la musique, Non cadre, salaire des femmes par rapport aux hommes",-7%
2018,France,"Secteur Effets visuels numériques, Cadre, suivi de production, salaire des femmes par rapport aux hommes",-6.30%
2018,France,"Secteur Effets visuels numériques, Cadre, postproduction, salaire des femmes par rapport aux hommes",-7.60%
2018,France,"Secteur Effets visuels numériques, Cadre, Infographiste, salaire des femmes par rapport aux hommes",-14.30%
2018,France,"Secteur Effets visuels numériques, Cadre, administration et commercial, salaire des femmes par rapport aux hommes",-40.10%
2018,France,"Secteur Effets visuels numériques, Non cadre, postproduction, salaire des femmes par rapport aux hommes",-9.10%
2018,France,"Secteur Effets visuels numériques, Non cadre, Infographiste, salaire des femmes par rapport aux hommes",-14.20%
2018,France,"Journalisme,  salaire des femmes par rapport aux hommes",-17%
2019,France,"Journalisme,  salaire des femmes par rapport aux hommes",-15.00%
2019,France,"Journalisme,  salaire horaire en CDD des femmes par rapport aux hommes",-5.40%
2019,France,"Journalisme,  salaire horaire en CDI des femmes par rapport aux hommes",-10.60%
2016,France,"Compositeur·rice·s musicaux·ales et chorégraphes, revenu médian des femmes par rapport aux hommes",-44%
2016,France,"Métiers d’art, revenu médian des femmes par rapport aux hommes",-24%
2016,France,"Artistes plasticien·ne·s, revenu médian des femmes par rapport aux hommes",-28%
2016,France,"Graphistes, revenu médian des femmes par rapport aux hommes",-15%
2016,France,"Peintres, revenu médian des femmes par rapport aux hommes",-27%
2016,France,"Illustrateur·rice·s, revenu médian des femmes par rapport aux hommes",-25%
2016,France,"Dessinateur·rice·s, revenu médian des femmes par rapport aux hommes",-19%
2016,France,"Sculpteur·rice·s, revenu médian des femmes par rapport aux hommes",-24%
2016,France,"Ensemble artistes auteur·e·s affilié·e·s à la Maison des artistes, revenu médian des femmes par rapport aux hommes",-21%
