annee,pays,nom,valeur,,,,,
2009,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",6.70,,,,,
2009,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-1.40,,,,,
2009,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-44.70,,,,,
2009,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-6.00,,,,,
2009,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-40.60,,,,,
2009,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",3.60,,,,,
2009,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-9.30,,,,,2010
2009,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-1.70,,,,,2011
2009,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",-5.50,,,,,2012
2009,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.90,,,,,2013
2009,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",-8.50,,,,,2014
2009,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-16.50,,,,,
2009,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-19.60,,,,,
2009,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.90,,,,,
2009,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-27.90,,,,,
2009,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-12.10,,,,,
2009,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",8.70,,,,,
2009,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-13.20,,,,,
2009,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-26.80,,,,,
2009,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-26.20,,·,,,
2009,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.20,,,,,
2009,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",6.50,,,,,
2009,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.00,,,,,
2010,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-7.60,,,,,
2010,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-2.70,,,,,
2010,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-45.40,,,,,
2010,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-5.20,,,,,
2010,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-36.10,,,,,
2010,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",-1.50,,,,,
2010,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.70,,,,,
2010,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-4.30,,,,,
2010,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",1.80,,,,,
2010,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-5.10,,,,,
2010,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.20,,,,,
2010,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-10.80,,,,,
2010,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-9.10,,,,,
