pays,annee,nom,valeur,Ensemble,hommes,femmes
Hauts de Seine,2018,"Agriculteurs exploitants, part de femmes",37.79%,217,135,82
Hauts de Seine,2018,"Artisans, commerçants, chefs d'entreprise, part de femmes",27.40%,43120,31306,11814
Hauts de Seine,2018,"Cadres et professions intellectuelles supérieures, part de femmes",45.17%,340212,186527,153685
Hauts de Seine,2018,"Professions intermédiaires, part de femmes",58.30%,203085,84682,118403
Hauts de Seine,2018,"Employés, part de femmes",68.50%,186744,58823,127921
Hauts de Seine,2018,"Ouvriers, part de femmes",18.70%,70539,57346,13193
Hauts de Seine,2018,"Retraités, part de femmes",57.74%,247420,104572,142848
Hauts de Seine,2018,"Autres personnes sans activité professionnelle, part de femmes",12.56%,103246,90277,12969
Le CUBE,2021,"Direction et présidence, part de femmes",66.67%,3,1,2
Le CUBE,2021,"Direction Arttistique et développement, part de femmes",40.00%,5,3,2
Le CUBE,2021,"Employés, part de femmes",60.00%,25,10,15
