pays,annee,nom,valeur
Île-de-France,2014,Part des femmes dans les conseils municipaux,"45,2"
Île-de-France,2014,Part des femmes dans les conseils municipaux moins de 1000 habitants,"37,7"
Île-de-France,2014,Part des femmes dans les conseils municipaux 1000 habitants au plus,"47,8"
France,2014,Part des femmes dans les conseils municipaux,"40,0"
France,2014,Part des femmes dans les conseils municipaux moins de 1000 habitants,"34,5"
France,2014,Part des femmes dans les conseils municipaux 1000 habitants au plus,"47,2"
Île-de-France,2014,Part de femmes maires,"19,8"
Île-de-France,2014,"Part de femmes maires, moins de 1000 habitants","20,0"
Île-de-France,2014,"Part de femmes maires, 1000 habitants au plus","19,7"
France,2014,Part de femmes maires,"16,7"
France,2014,"Part de femmes maires, moins de 1000 habitants","17,6"
France,2014,"Part de femmes maires, 1000 habitants au plus","14,1"
Île-de-France,2014,Part de femmes adjoint·es et conseill·ères ,"46,5"
Île-de-France,2014,"Part de femmes adjoint·es et conseill·ères, moins de 1000 habitants","39,3"
Île-de-France,2014,"Part de femmes adjoint·es et conseill·ères, 1000 habitants au plus","48,8"
France,2014,Part de femmes adjoint·es et conseill·ères ,"41,8"
France,2014,"Part de femmes adjoint·es et conseill·ères, moins de 1000 habitants","36,2"
France,2014,"Part de femmes adjoint·es et conseill·ères, 1000 habitants au plus","48,7"
France,2020,Part des femmes dans les conseils municipaux,"42,4"
France,2020,"Premiers adjoints au maire, part de femme","33,3"
France,2020,"Deuxièmes adjoints au maire, part de femmes","42,2"
France,2020,"Maire de communes rurales, part de femmes","20,3"
France,2020,"Maire de communes urbaines, part de femmes",18
France,2020,"Conseils intercommunaux, part de femmes","35,8"
France,2021,"Conseillers communautaires, présidence, part de femmes","11,4"
France,2021,"Conseillers communautaires, vice-présidence, part de femmes","25,3"
France,2021,"Conseillers communautaires, hors fonction éxecutive, part de femmes","37,6"
France,2021,"Conseillers départementaux, présidence, part de femmes","20,2"
France,2021,"Conseillers départementaux, vice-présidence, part de femmes","49,6"
France,2021,"Conseillers départementaux, autres fonctions, part de femmes","51,1"
France,2021,"Conseillers régionaux, présidence, part de femmes","31,6"
France,2021,"Conseillers régionaux, vice-présidence, part de femmes","47,9"
France,2021,"Conseillers régionaux, autres fonctions, part de femmes","48,9"
