indicator,fr,es
"Deuxièmes adjoints au maire, part de femmes","Deuxièmes adjoint·es au maire, part de femmes",
"Part de femmes adjoint·es et conseill·ères ","Part de femmes adjoint·es et conseill·ères ",
"Conseillers régionaux, vice-présidence, part de femmes","Conseiller·es régionaux, vice-présidence, part de femmes",
"Part de femmes adjoint·es et conseill·ères, moins de 1000 habitants","Part de femmes adjoint·es et conseill·ères, moins de 1000 habitants",
"Maire de communes rurales, part de femmes","Maire de communes rurales, part de femmes",
"Conseillers régionaux, présidence, part de femmes","Conseiller·es régionaux, présidence, part de femmes",
"Premiers adjoints au maire, part de femme","Premie·ères adjoint·es au maire, part de femme",
"Conseillers communautaires, présidence, part de femmes","Conseiller·es communautaires, présidence, part de femmes",
"Maire de communes urbaines, part de femmes","Maire de communes urbaines, part de femmes",
"Part des femmes dans les conseils municipaux 1000 habitants au plus","Part des femmes dans les conseils municipaux 1000 habitants au plus",
"Conseils intercommunaux, part de femmes","Conseiller·es intercommunaux·ales, part de femmes",
"Conseillers régionaux, autres fonctions, part de femmes","Conseiller·es régionaux, autres fonctions, part de femmes",
"Conseillers départementaux, présidence, part de femmes","Conseiller·es départementaux·ales, présidence, part de femmes",
"Conseillers départementaux, vice-présidence, part de femmes","Conseiller·es départementaux·ales, vice-présidence, part de femmes",
"Part des femmes dans les conseils municipaux moins de 1000 habitants","Part des femmes dans les conseils municipaux moins de 1000 habitants",
"Part de femmes maires, 1000 habitants au plus","Part de femmes maires, 1000 habitants au plus",
"Part de femmes maires","Part de femmes maires",
"Conseillers départementaux, autres fonctions, part de femmes","Conseiller·es départementaux·ales, autres fonctions, part de femmes",
"Conseillers communautaires, vice-présidence, part de femmes","Conseiller·es communautaires, vice-présidence, part de femmes",
"Part de femmes adjoint·es et conseill·ères, 1000 habitants au plus","Part de femmes adjoint·es et conseill·ères, 1000 habitants au plus",
"Part des femmes dans les conseils municipaux","Part des femmes dans les conseils municipaux",
"Conseillers communautaires, hors fonction éxecutive, part de femmes","Conseiller·es communautaires, hors fonction éxecutive, part de femmes",
"Part de femmes maires, moins de 1000 habitants","Part de femmes maires, moins de 1000 habitants",
