Montréal	2015	Revenu_annuel_médian_des_femmes_par_rapport_à_celui_des_hommes	-15.09%	0.1509433962264151
Québec	2010	Danse---_revenu_moyen_des_femmes_par_rapport_à_celui_des_hommes	-31.49%	0.3149171270718232
Québec	2010	Arts_visuels---_revenu_personnel_moyen_des_femmes_par_rapport_à_celui_des_hommes	-31.17%	0.3117206982543641
Québec	2010	Arts_visuels---_revenu_personnel_médian_des_femmes_par_rapport_à_celui_des_hommes	-20.67%	0.20666666666666667
Québec	2016	Revenu_moyen_après_impôt_des_personnes_en_ménage---_femmes_par_rapport_aux_hommes	-21.63%	0.2163323782234957
Québec	2015	Revenu_moyen_après_impôt_des_personnes_en_ménage---_femmes_par_rapport_aux_hommes	-20.68%	0.2068452380952381
Québec	2014	Revenu_moyen_après_impôt_des_personnes_en_ménage---_femmes_par_rapport_aux_hommes	-21.96%	0.21961932650073204
Québec	2013	Revenu_moyen_après_impôt_des_personnes_en_ménage---_femmes_par_rapport_aux_hommes	-19.82%	0.19821162444113263
Québec	2013	Revenu_moyen_après_impôt_des_personnes_en_ménage---_femmes_par_rapport_aux_hommes	-24.34%	0.24336283185840707
Québec	2016	Revenu_moyen_des_personnes_en_ménages---_femmes_par_rapport_aux_hommes	-25.12%	0.2511737089201878
Québec	2015	Revenu_moyen_des_personnes_en_ménages---_femmes_par_rapport_aux_hommes	-23.71%	0.23710073710073712
Québec	2014	Revenu_moyen_des_personnes_en_ménages---_femmes_par_rapport_aux_hommes	-25.21%	0.2520908004778973
Québec	2013	Revenu_moyen_des_personnes_en_ménages---_femmes_par_rapport_aux_hommes	-23.13%	0.23133414932680538
Québec	2016	Revenu_moyen_après_impôt_des_femmes_par_rapport_aux_hommes	-23.56%	0.2356020942408377
Québec	2015	Revenu_moyen_après_impôt_des_femmes_par_rapport_aux_hommes	-22.68%	0.226775956284153
Québec	2014	Revenu_moyen_après_impôt_des_femmes_par_rapport_aux_hommes	-27.82%	0.2782152230971129
Québec	2013	Revenu_moyen_après_impôt_des_femmes_par_rapport_aux_hommes	-22.38%	0.22375690607734808
Québec	2016	Revenu_moyen_des_femmes_par_rapport_aux_hommes	-28.03%	0.2802547770700637
Québec	2015	Revenu_moyen_des_femmes_par_rapport_aux_hommes	-26.23%	0.26233183856502246
Québec	2014	Revenu_moyen_des_femmes_par_rapport_aux_hommes	-32.42%	0.3241525423728814
Québec	2013	Revenu_moyen_des_femmes_par_rapport_aux_hommes	-26.58%	0.26576576576576577
Québec	2016	Revenu_médian_après_impôt_des_femmes_par_rapport_aux_hommes	-23.64%	0.23636363636363636
Québec	2015	Revenu_médian_après_impôt_des_femmes_par_rapport_aux_hommes	-23.12%	0.23125
Québec	2014	Revenu_médian_après_impôt_des_femmes_par_rapport_aux_hommes	-29.22%	0.29216867469879515
Québec	2013	Revenu_médian_après_impôt_des_femmes_par_rapport_aux_hommes	-23.17%	0.23174603174603173
Québec	2016	Revenu_médian_des_femmes_par_rapport_aux_hommes	-27.54%	0.27540106951871657
Québec	2015	Revenu_médian_des_femmes_par_rapport_aux_hommes	-26.52%	0.26519337016574585
Québec	2014	Revenu_médian_des_femmes_par_rapport_aux_hommes	-33.16%	0.33156498673740054
Québec	2013	Revenu_médian_des_femmes_par_rapport_aux_hommes	-27.12%	0.2711864406779661
