pays,annee,nom,value
Auvergne-Rhône-Alpes,2015,Part de chefs de famille monoparentale propriétaires,"-20,8"
Bourgogne-Franche-Comté,2015,Part de chefs de famille monoparentale propriétaires,"-25,3"
Bretagne,2015,Part de chefs de famille monoparentale propriétaires,"-20,5"
Centre-Val de Loire,2015,Part de chefs de famille monoparentale propriétaires,"-23,8"
Corse,2015,Part de chefs de famille monoparentale propriétaires,"-17,1"
Grand Est,2015,Part de chefs de famille monoparentale propriétaires,"-23,0"
Hauts-de-France,2015,Part de chefs de famille monoparentale propriétaires,"-22,2"
Ile-de-France,2015,Part de chefs de famille monoparentale propriétaires,"-13,6"
Normandie,2015,Part de chefs de famille monoparentale propriétaires,"-23,9"
Nouvelle-Aquitaine,2015,Part de chefs de famille monoparentale propriétaires,"-22,0"
Occitanie,2015,Part de chefs de famille monoparentale propriétaires,"-20,2"
Pays de la Loire,2015,Part de chefs de famille monoparentale propriétaires,"-21,7"
Provence-Alpes-Côte d'Azur,2015,Part de chefs de famille monoparentale propriétaires,"-16,9"
France métropolitaine hors Ile-de-France,2015,Part de chefs de famille monoparentale propriétaires,"-21,6"
France métropolitaine,2015,Part de chefs de famille monoparentale propriétaires,"-20,0"
Guadeloupe,2015,Part de chefs de famille monoparentale propriétaires,"-27,6"
Martinique,2015,Part de chefs de famille monoparentale propriétaires,"-27,1"
Guyane,2015,Part de chefs de famille monoparentale propriétaires,"-20,4"
Réunion,2015,Part de chefs de famille monoparentale propriétaires,"-25,7"
Mayotte,2015,Part de chefs de famille monoparentale propriétaires,"-2,9"
Auvergne-Rhône-Alpes,2015,Proportion parmi les cadres dirigeants,"-62,3"
Bourgogne-Franche-Comté,2015,Proportion parmi les cadres dirigeants,"-70,4"
Bretagne,2015,Proportion parmi les cadres dirigeants,"-65,3"
Centre-Val de Loire,2015,Proportion parmi les cadres dirigeants,"-68,8"
Grand Est,2015,Proportion parmi les cadres dirigeants,"-63,6"
Hauts-de-France,2015,Proportion parmi les cadres dirigeants,"-67,1"
Ile-de-France,2015,Proportion parmi les cadres dirigeants,"-41,7"
Normandie,2015,Proportion parmi les cadres dirigeants,"-68,7"
Nouvelle-Aquitaine,2015,Proportion parmi les cadres dirigeants,"-64,1"
Occitanie,2015,Proportion parmi les cadres dirigeants,"-64,9"
Pays de la Loire,2015,Proportion parmi les cadres dirigeants,"-68,0"
Provence-Alpes-Côte d'Azur,2015,Proportion parmi les cadres dirigeants,"-63,0"
France métropolitaine hors Ile-de-France,2015,Proportion parmi les cadres dirigeants,"-65,1"
France métropolitaine,2015,Proportion parmi les cadres dirigeants,"-53,7"
Auvergne-Rhône-Alpes,2017,Proportion parmi les licenciés de sport ,"-37,7"
Bourgogne-Franche-Comté,2017,Proportion parmi les licenciés de sport ,"-36,3"
Bretagne,2017,Proportion parmi les licenciés de sport ,"-38,3"
Centre-Val de Loire,2017,Proportion parmi les licenciés de sport ,"-35,5"
Corse,2017,Proportion parmi les licenciés de sport ,"-43,9"
Grand Est,2017,Proportion parmi les licenciés de sport ,"-36,2"
