pays,annee,nom,valeur
France,2015,"Cadres, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-20,0"
France,2015,"Professions intermédiaires, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-14,0"
France,2015,"Employé·es, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-8,5"
France,2015,"Ouvrier·es, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-16,0"
France,2015,"Tout secteur privé, Salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-18,5"
France,2018,"Cadres, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-18,4"
France,2018,"Professions intermédiaires, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-12,8"
France,2018,"Employé·es, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-6,1"
France,2018,"Ouvrier·es, salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-14,8"
France,2018,"Tout secteur privé, Salaires mensuels moyens nets en EQTP, femmes par rapport aux hommes","-16,8"
Pays de la Loire,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,9"
Provence-Alpes-Côte d'Azur,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,4"
France métropolitaine hors Ile-de-France,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,7"
France métropolitaine,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,9"
Guadeloupe,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,9"
Martinique,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-19,6"
Guyane,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-19,9"
La Réunion,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,8"
DOM hors Mayotte,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-19,0"
France hors Mayotte,2017,"Cadres, salaire annuel moyen net en EQTP, femmes par rapport aux hommes","-18,9"
Auvergne-Rhône-Alpes,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-26,3"
Bourgogne-Franche-Comté,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,4"
Bretagne,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-24,5"
Centre-Val de Loire,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-22,8"
Corse,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-20,1"
Grand Est,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,7"
Hauts-de-France,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-24,6"
Ile-de-France,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-20,5"
Normandie,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,1"
