pays,annee,nom,valeur,value Point de %
Auvergne-Rhône-Alpes,2017,Part de chefs de famille monoparentale propriétaires,"-19,6",
Bourgogne-Franche-Comté,2017,Part de chefs de famille monoparentale propriétaires,"-25,6",
Bretagne,2017,Part de chefs de famille monoparentale propriétaires,"-20,0",
Centre-Val de Loire,2017,Part de chefs de famille monoparentale propriétaires,"-21,9",
Corse,2017,Part de chefs de famille monoparentale propriétaires,"-18,4",
Grand Est,2017,Part de chefs de famille monoparentale propriétaires,"-23,2",
Hauts-de-France,2017,Part de chefs de famille monoparentale propriétaires,"-21,7",
Ile-de-France,2017,Part de chefs de famille monoparentale propriétaires,"-13,2",
Normandie,2017,Part de chefs de famille monoparentale propriétaires,"-22,3",
Nouvelle-Aquitaine,2017,Part de chefs de famille monoparentale propriétaires,"-22,6",
Occitanie,2017,Part de chefs de famille monoparentale propriétaires,"-20,4",
Pays de la Loire,2017,Part de chefs de famille monoparentale propriétaires,"-21,9",
Provence-Alpes-Côte d'Azur,2017,Part de chefs de famille monoparentale propriétaires,"-16,8",
France métropolitaine hors Ile-de-France,2017,Part de chefs de famille monoparentale propriétaires,"-21,3",
France métropolitaine,2017,Part de chefs de famille monoparentale propriétaires,"-19,8",
Guadeloupe,2017,Part de chefs de famille monoparentale propriétaires,"-27,3",
Martinique,2017,Part de chefs de famille monoparentale propriétaires,"-24,7",
Guyane,2017,Part de chefs de famille monoparentale propriétaires,"-21,2",
La Réunion,2017,Part de chefs de famille monoparentale propriétaires,"-27,5",
Mayotte,2017,Part de chefs de famille monoparentale propriétaires,"0,5",
DOM hors Mayotte,2017,Part de chefs de famille monoparentale propriétaires,"-25,9",
France hors Mayotte,2017,Part de chefs de famille monoparentale propriétaires,"-20,1",
Auvergne-Rhône-Alpes,2018,Proportion parmi les cadres dirigeants,"-61,8",
Bourgogne-Franche-Comté,2018,Proportion parmi les cadres dirigeants,"-66,1",
Bretagne,2018,Proportion parmi les cadres dirigeants,"-58,5",
Centre-Val de Loire,2018,Proportion parmi les cadres dirigeants,"-70,1",
Grand Est,2018,Proportion parmi les cadres dirigeants,"-64,5",
Hauts-de-France,2018,Proportion parmi les cadres dirigeants,"-63,8",
Ile-de-France,2018,Proportion parmi les cadres dirigeants,"-45,4",
Normandie,2018,Proportion parmi les cadres dirigeants,"-61,9",
Nouvelle-Aquitaine,2018,Proportion parmi les cadres dirigeants,"-62,0",
Occitanie,2018,Proportion parmi les cadres dirigeants,"-59,5",
Pays de la Loire,2018,Proportion parmi les cadres dirigeants,"-66,2",
Provence-Alpes-Côte d'Azur,2018,Proportion parmi les cadres dirigeants,"-65,5",
France métropolitaine hors Ile-de-France,2018,Proportion parmi les cadres dirigeants,"-63,1",
France métropolitaine,2018,Proportion parmi les cadres dirigeants,"-53,4",
DOM hors Mayotte,2018,Proportion parmi les cadres dirigeants,"-46,2",
France hors Mayotte,2018,Proportion parmi les cadres dirigeants,"-53,3",
Auvergne-Rhône-Alpes,2019,Proportion parmi les licenciés de sport ,"-36,9",
Bourgogne-Franche-Comté,2019,Proportion parmi les licenciés de sport ,"-35,2",
Bretagne,2019,Proportion parmi les licenciés de sport ,"-37,2",
Centre-Val de Loire,2019,Proportion parmi les licenciés de sport ,"-34,0",
Corse,2019,Proportion parmi les licenciés de sport ,"-42,6",
Grand Est,2019,Proportion parmi les licenciés de sport ,"-34,6",
Hauts-de-France,2019,Proportion parmi les licenciés de sport ,"-39,4",
Ile-de-France,2019,Proportion parmi les licenciés de sport ,"-35,7",
Normandie,2019,Proportion parmi les licenciés de sport ,"-33,8",
Nouvelle-Aquitaine,2019,Proportion parmi les licenciés de sport ,"-35,5",
Occitanie,2019,Proportion parmi les licenciés de sport ,"-38,0",
Pays de la Loire,2019,Proportion parmi les licenciés de sport ,"-38,6",
Provence-Alpes-Côte d'Azur,2019,Proportion parmi les licenciés de sport ,"-35,6",
France métropolitaine hors Ile-de-France,2019,Proportion parmi les licenciés de sport ,"-36,5",
France métropolitaine,2019,Proportion parmi les licenciés de sport ,"-36,4",
Guadeloupe,2019,Proportion parmi les licenciés de sport ,"-35,0",
Martinique,2019,Proportion parmi les licenciés de sport ,"-32,0",
Guyane,2019,Proportion parmi les licenciés de sport ,"-34,6",
La Réunion,2019,Proportion parmi les licenciés de sport ,"-37,0",
Mayotte,2019,Proportion parmi les licenciés de sport ,"-54,2",
DOM hors Mayotte,2019,Proportion parmi les licenciés de sport ,"-35,2",
DOM y compris Mayotte,2019,Proportion parmi les licenciés de sport ,"-37,0",
France hors Mayotte,2019,Proportion parmi les licenciés de sport ,"-36,4",
France,2019,Proportion parmi les licenciés de sport ,"-36,4",
Auvergne-Rhône-Alpes,2021,"Proportion dans les conseils municipaux, maires","-57,6",
Bourgogne-Franche-Comté,2021,"Proportion dans les conseils municipaux, maires","-59,8",
Bretagne,2021,"Proportion dans les conseils municipaux, maires","-57,6",
Centre-Val de Loire,2021,"Proportion dans les conseils municipaux, maires","-54,4",
Corse,2021,"Proportion dans les conseils municipaux, maires","-75,4",
Grand Est,2021,"Proportion dans les conseils municipaux, maires","-65,4",
Hauts-de-France,2021,"Proportion dans les conseils municipaux, maires","-65,0",
Ile-de-France,2021,"Proportion dans les conseils municipaux, maires","-56,4",
Normandie,2021,"Proportion dans les conseils municipaux, maires","-57,4",
Nouvelle-Aquitaine,2021,"Proportion dans les conseils municipaux, maires","-56,0",
Occitanie,2021,"Proportion dans les conseils municipaux, maires","-62,2",
Pays de la Loire,2021,"Proportion dans les conseils municipaux, maires","-59,0",
Provence-Alpes-Côte d'Azur,2021,"Proportion dans les conseils municipaux, maires","-61,4",
France métropolitaine hors Ile-de-France,2021,"Proportion dans les conseils municipaux, maires","-60,4",
France métropolitaine,2021,"Proportion dans les conseils municipaux, maires","-60,2",
Guadeloupe,2021,"Proportion dans les conseils municipaux, maires","-56,2",
Martinique,2021,"Proportion dans les conseils municipaux, maires","-76,4",
Guyane,2021,"Proportion dans les conseils municipaux, maires","-54,6",
La Réunion,2021,"Proportion dans les conseils municipaux, maires","-66,6",
Mayotte,2021,"Proportion dans les conseils municipaux, maires","-100,0",
DOM hors Mayotte,2021,"Proportion dans les conseils municipaux, maires","-64,2",
DOM y compris Mayotte,2021,"Proportion dans les conseils municipaux, maires","-69,0",
France hors Mayotte,2021,"Proportion dans les conseils municipaux, maires","-60,2",
France,2021,"Proportion dans les conseils municipaux, maires","-60,4",
Auvergne-Rhône-Alpes,2021,Proportion dans les conseils municipaux,"-12,2",
Bourgogne-Franche-Comté,2021,Proportion dans les conseils municipaux,"-22,4",
Bretagne,2021,Proportion dans les conseils municipaux,"-6,2",
Centre-Val de Loire,2021,Proportion dans les conseils municipaux,"-13,4",
Corse,2021,Proportion dans les conseils municipaux,"-24,8",
Grand Est,2021,Proportion dans les conseils municipaux,"-23,0",
Hauts-de-France,2021,Proportion dans les conseils municipaux,"-18,4",
Ile-de-France,2021,Proportion dans les conseils municipaux,"-6,4",
Normandie,2021,Proportion dans les conseils municipaux,"-15,4",
Nouvelle-Aquitaine,2021,Proportion dans les conseils municipaux,"-13,4",
Occitanie,2021,Proportion dans les conseils municipaux,"-16,2",
Pays de la Loire,2021,Proportion dans les conseils municipaux,"-7,4",
Provence-Alpes-Côte d'Azur,2021,Proportion dans les conseils municipaux,"-10,4",
France métropolitaine hors Ile-de-France,2021,Proportion dans les conseils municipaux,"-15,8",
France métropolitaine,2021,Proportion dans les conseils municipaux,"-15,4",
Guadeloupe,2021,Proportion dans les conseils municipaux,"-1,8",
Martinique,2021,Proportion dans les conseils municipaux,"-4,8",
Guyane,2021,Proportion dans les conseils municipaux,"-5,2",
La Réunion,2021,Proportion dans les conseils municipaux,"-2,0",
Mayotte,2021,Proportion dans les conseils municipaux,"-3,0",
DOM hors Mayotte,2021,Proportion dans les conseils municipaux,"-3,2",
DOM y compris Mayotte,2021,Proportion dans les conseils municipaux,"-3,2",
France hors Mayotte,2021,Proportion dans les conseils municipaux,"-15,2",
