pays,annee,nom,value
Auvergne-Rhône-Alpes,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-20.6
Bourgogne-Franche-Comté,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-19.1
Bretagne,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18.7
Centre-Val de Loire,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18.3
Corse,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-15.4
Grand Est,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-20.2
Hauts-de-France,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18
Ile-de-France,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18.5
Normandie,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-19.1
Nouvelle-Aquitaine,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-17.6
Occitanie,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-19.9
Pays de la Loire,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-19.3
Provence-Alpes-Côte d'Azur,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-20.4
France métropolitaine hors Ile-de-France,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-19.3
France métropolitaine,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18.7
Guadeloupe,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-10.8
Martinique,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-11.1
Guyane,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-10.4
La Réunion,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-8.6
DOM y compris Mayotte,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-9.5
France y compris Mayotte,2015,Salaire net annuel moyen des femmes par rapport aux hommes,-18.6
Auvergne-Rhône-Alpes,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.8
Bourgogne-Franche-Comté,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.2
Bretagne,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.1
Centre-Val de Loire,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.6
Corse,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.4
Grand Est,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.9
Hauts-de-France,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.4
Ile-de-France,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-22.2
Normandie,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.8
Nouvelle-Aquitaine,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.3
Occitanie,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.9
Pays de la Loire,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.9
Provence-Alpes-Côte d'Azur,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.9
France métropolitaine hors Ile-de-France,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21
France métropolitaine,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20
Guadeloupe,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.1
Martinique,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-22.1
Guyane,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-18.8
La Réunion,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-19.7
DOM y compris Mayotte,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.1
France y compris Mayotte,2015,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20
Auvergne-Rhône-Alpes,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.2
Bourgogne-Franche-Comté,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.4
Bretagne,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.1
Centre-Val de Loire,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.9
Corse,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.5
Grand Est,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.2
Hauts-de-France,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.9
Ile-de-France,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-22
Normandie,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.4
Nouvelle-Aquitaine,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.8
Occitanie,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.7
Pays de la Loire,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21
Provence-Alpes-Côte d'Azur,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.9
France métropolitaine hors Ile-de-France,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.2
France métropolitaine,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20
Guadeloupe,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.7
Martinique,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-21.9
Guyane,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.1
La Réunion,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.1
DOM y compris Mayotte,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20.8
France y compris Mayotte,2014,Cadres - Salaire net annuel moyen des femmes par rapport aux hommes,-20
Auvergne-Rhône-Alpes,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-27
Bourgogne-Franche-Comté,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-26
Bretagne,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-25
Centre-Val de Loire,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-24
Corse,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-21
Grand Est,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-27
Hauts-de-France,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-25
Ile-de-France,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-23
Normandie,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-26
Nouvelle-Aquitaine,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-23
Occitanie,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-26
