pays,annee,nom,value
Auvergne-Rhône-Alpes,2015,Taux d’activité chez les 25 à 54 ans,"-6,9"
Bourgogne-Franche-Comté,2015,Taux d’activité chez les 25 à 54 ans,"-7,0"
Bretagne,2015,Taux d’activité chez les 25 à 54 ans,"-4,4"
Centre-Val de Loire,2015,Taux d’activité chez les 25 à 54 ans,"-6,3"
Corse,2015,Taux d’activité chez les 25 à 54 ans,"-11,8"
Grand Est,2015,Taux d’activité chez les 25 à 54 ans,"-8,6"
Hauts-de-France,2015,Taux d’activité chez les 25 à 54 ans,"-11,5"
Ile-de-France,2015,Taux d’activité chez les 25 à 54 ans,"-6,7"
Normandie,2015,Taux d’activité chez les 25 à 54 ans,"-6,9"
Nouvelle-Aquitaine,2015,Taux d’activité chez les 25 à 54 ans,"-5,5"
Occitanie,2015,Taux d’activité chez les 25 à 54 ans,"-6,8"
Pays de la Loire,2015,Taux d’activité chez les 25 à 54 ans,"-4,7"
Provence-Alpes-Côte d'Azur,2015,Taux d’activité chez les 25 à 54 ans,"-8,8"
France métropolitaine hors Ile-de-France,2015,Taux d’activité chez les 25 à 54 ans,"-7,4"
France métropolitaine,2015,Taux d’activité chez les 25 à 54 ans,"-7,2"
Guadeloupe,2015,Taux d’activité chez les 25 à 54 ans,"-3,5"
Martinique,2015,Taux d’activité chez les 25 à 54 ans,"-2,5"
Guyane,2015,Taux d’activité chez les 25 à 54 ans,"-1,8"
Réunion,2015,Taux d’activité chez les 25 à 54 ans,"-10,8"
Mayotte,2015,Taux d’activité chez les 25 à 54 ans,"-19,9"
Auvergne-Rhône-Alpes,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-6
Bourgogne-Franche-Comté,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Bretagne,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-6
Centre-Val de Loire,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Corse,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-5
Grand Est,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-8
Hauts-de-France,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-8
Ile-de-France,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-2
Normandie,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Nouvelle-Aquitaine,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Occitanie,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Pays de la Loire,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-6
Provence-Alpes-Côte d'Azur,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-6
France métropolitaine hors Ile-de-France,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-8
France métropolitaine,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Guadeloupe,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-5
Martinique,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-6
Guyane,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-5
Réunion,2015,Nombre de familles professionnelles concentrant la moitié des emplois,-7
Auvergne-Rhône-Alpes,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"24,4"
Bourgogne-Franche-Comté,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"24,1"
Bretagne,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"24,0"
Centre-Val de Loire,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"19,4"
Corse,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"16,3"
Grand Est,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"24,4"
Hauts-de-France,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"23,4"
Ile-de-France,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"12,4"
Normandie,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"22,2"
Nouvelle-Aquitaine,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"20,6"
Occitanie,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"22,6"
Pays de la Loire,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"26,2"
Provence-Alpes-Côte d'Azur,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"20,4"
France métropolitaine hors Ile-de-France,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"23,0"
France métropolitaine,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"20,6"
Guadeloupe,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"10,6"
Martinique,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"13,3"
Guyane,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"8,4"
Réunion,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"16,1"
Mayotte,2015,Part de salariés à temps partiel chez les 25 à 54 ans,"4,2"
Auvergne-Rhône-Alpes,2015,Taux de chômage chez les 25 à 54 ans,"1,9"
Bourgogne-Franche-Comté,2015,Taux de chômage chez les 25 à 54 ans,"1,4"
Bretagne,2015,Taux de chômage chez les 25 à 54 ans,"1,1"
Centre-Val de Loire,2015,Taux de chômage chez les 25 à 54 ans,"1,2"
Corse,2015,Taux de chômage chez les 25 à 54 ans,"5,3"
Grand Est,2015,Taux de chômage chez les 25 à 54 ans,"1,2"
Hauts-de-France,2015,Taux de chômage chez les 25 à 54 ans,"1,3"
Ile-de-France,2015,Taux de chômage chez les 25 à 54 ans,"1,3"
Normandie,2015,Taux de chômage chez les 25 à 54 ans,"1,2"
Nouvelle-Aquitaine,2015,Taux de chômage chez les 25 à 54 ans,"1,9"
Occitanie,2015,Taux de chômage chez les 25 à 54 ans,"2,2"
Pays de la Loire,2015,Taux de chômage chez les 25 à 54 ans,"1,6"
Provence-Alpes-Côte d'Azur,2015,Taux de chômage chez les 25 à 54 ans,"2,4"
France métropolitaine hors Ile-de-France,2015,Taux de chômage chez les 25 à 54 ans,"1,7"
France métropolitaine,2015,Taux de chômage chez les 25 à 54 ans,"1,6"
Guadeloupe,2015,Taux de chômage chez les 25 à 54 ans,"7,2"
Martinique,2015,Taux de chômage chez les 25 à 54 ans,"4,0"
Guyane,2015,Taux de chômage chez les 25 à 54 ans,"11,7"
Réunion,2015,Taux de chômage chez les 25 à 54 ans,"5,8"
Mayotte,2015,Taux de chômage chez les 25 à 54 ans,"19,5"
