pays,annee,nom,value
Auvergne-Rhône-Alpes,2015,Salaire net annuel moyen en EQTP,"-20,6"
Bourgogne-Franche-Comté,2015,Salaire net annuel moyen en EQTP,"-19,1"
Bretagne,2015,Salaire net annuel moyen en EQTP,"-18,7"
Centre-Val de Loire,2015,Salaire net annuel moyen en EQTP,"-18,3"
Corse,2015,Salaire net annuel moyen en EQTP,"-15,4"
Grand Est,2015,Salaire net annuel moyen en EQTP,"-20,2"
Hauts-de-France,2015,Salaire net annuel moyen en EQTP,"-18,0"
Ile-de-France,2015,Salaire net annuel moyen en EQTP,"-18,5"
Normandie,2015,Salaire net annuel moyen en EQTP,"-19,1"
Nouvelle-Aquitaine,2015,Salaire net annuel moyen en EQTP,"-17,6"
Occitanie,2015,Salaire net annuel moyen en EQTP,"-19,9"
Pays de la Loire,2015,Salaire net annuel moyen en EQTP,"-19,3"
Provence-Alpes-Côte d'Azur,2015,Salaire net annuel moyen en EQTP,"-20,4"
France métropolitaine hors Ile-de-France,2015,Salaire net annuel moyen en EQTP,"-19,3"
France métropolitaine,2015,Salaire net annuel moyen en EQTP,"-18,7"
Guadeloupe,2015,Salaire net annuel moyen en EQTP,"-10,8"
Martinique,2015,Salaire net annuel moyen en EQTP,"-11,1"
Guyane,2015,Salaire net annuel moyen en EQTP,"-10,4"
La Réunion,2015,Salaire net annuel moyen en EQTP,"-8,6"
Auvergne-Rhône-Alpes,2014,Salaire net annuel moyen en EQTP,"-20,7"
Bourgogne-Franche-Comté,2014,Salaire net annuel moyen en EQTP,"-19,5"
Bretagne,2014,Salaire net annuel moyen en EQTP,"-18,9"
Centre-Val de Loire,2014,Salaire net annuel moyen en EQTP,"-18,3"
Corse,2014,Salaire net annuel moyen en EQTP,"-15,9"
Grand Est,2014,Salaire net annuel moyen en EQTP,"-20,3"
Hauts-de-France,2014,Salaire net annuel moyen en EQTP,"-18,2"
Ile-de-France,2014,Salaire net annuel moyen en EQTP,"-18,5"
Normandie,2014,Salaire net annuel moyen en EQTP,"-19,3"
Nouvelle-Aquitaine,2014,Salaire net annuel moyen en EQTP,"-17,8"
Occitanie,2014,Salaire net annuel moyen en EQTP,"-19,7"
Pays de la Loire,2014,Salaire net annuel moyen en EQTP,"-19,4"
Provence-Alpes-Côte d'Azur,2014,Salaire net annuel moyen en EQTP,"-20,5"
France métropolitaine hors Ile-de-France,2014,Salaire net annuel moyen en EQTP,"-19,4"
France métropolitaine,2014,Salaire net annuel moyen en EQTP,"-18,8"
Guadeloupe,2014,Salaire net annuel moyen en EQTP,"-10,8"
Martinique,2014,Salaire net annuel moyen en EQTP,"-10,9"
Guyane,2014,Salaire net annuel moyen en EQTP,"-9,6"
La Réunion,2014,Salaire net annuel moyen en EQTP,"-8,3"
Auvergne-Rhône-Alpes,2015,Salaire net annuel moyen en EQTP des cadres,"-20,8"
Bourgogne-Franche-Comté,2015,Salaire net annuel moyen en EQTP des cadres,"-21,2"
Bretagne,2015,Salaire net annuel moyen en EQTP des cadres,"-21,1"
Centre-Val de Loire,2015,Salaire net annuel moyen en EQTP des cadres,"-20,6"
Corse,2015,Salaire net annuel moyen en EQTP des cadres,"-20,4"
Grand Est,2015,Salaire net annuel moyen en EQTP des cadres,"-20,9"
Hauts-de-France,2015,Salaire net annuel moyen en EQTP des cadres,"-20,4"
Ile-de-France,2015,Salaire net annuel moyen en EQTP des cadres,"-22,2"
Normandie,2015,Salaire net annuel moyen en EQTP des cadres,"-20,8"
Nouvelle-Aquitaine,2015,Salaire net annuel moyen en EQTP des cadres,"-21,3"
Occitanie,2015,Salaire net annuel moyen en EQTP des cadres,"-20,9"
Pays de la Loire,2015,Salaire net annuel moyen en EQTP des cadres,"-20,9"
Provence-Alpes-Côte d'Azur,2015,Salaire net annuel moyen en EQTP des cadres,"-21,9"
France métropolitaine hors Ile-de-France,2015,Salaire net annuel moyen en EQTP des cadres,"-21,0"
France métropolitaine,2015,Salaire net annuel moyen en EQTP des cadres,"-20,0"
Guadeloupe,2015,Salaire net annuel moyen en EQTP des cadres,"-20,1"
Martinique,2015,Salaire net annuel moyen en EQTP des cadres,"-22,1"
Guyane,2015,Salaire net annuel moyen en EQTP des cadres,"-18,8"
La Réunion,2015,Salaire net annuel moyen en EQTP des cadres,"-19,7"
Auvergne-Rhône-Alpes,2014,Salaire net annuel moyen en EQTP des cadres,"-21,2"
Bourgogne-Franche-Comté,2014,Salaire net annuel moyen en EQTP des cadres,"-21,4"
Bretagne,2014,Salaire net annuel moyen en EQTP des cadres,"-21,1"
Centre-Val de Loire,2014,Salaire net annuel moyen en EQTP des cadres,"-20,9"
Corse,2014,Salaire net annuel moyen en EQTP des cadres,"-20,5"
Grand Est,2014,Salaire net annuel moyen en EQTP des cadres,"-21,2"
Hauts-de-France,2014,Salaire net annuel moyen en EQTP des cadres,"-20,9"
Ile-de-France,2014,Salaire net annuel moyen en EQTP des cadres,"-22,0"
Normandie,2014,Salaire net annuel moyen en EQTP des cadres,"-21,4"
Nouvelle-Aquitaine,2014,Salaire net annuel moyen en EQTP des cadres,"-21,8"
Occitanie,2014,Salaire net annuel moyen en EQTP des cadres,"-20,7"
Pays de la Loire,2014,Salaire net annuel moyen en EQTP des cadres,"-21,0"
Provence-Alpes-Côte d'Azur,2014,Salaire net annuel moyen en EQTP des cadres,"-21,9"
France métropolitaine hors Ile-de-France,2014,Salaire net annuel moyen en EQTP des cadres,"-21,2"
France métropolitaine,2014,Salaire net annuel moyen en EQTP des cadres,"-20,0"
Guadeloupe,2014,Salaire net annuel moyen en EQTP des cadres,"-21,7"
Martinique,2014,Salaire net annuel moyen en EQTP des cadres,"-21,9"
Guyane,2014,Salaire net annuel moyen en EQTP des cadres,"-20,1"
La Réunion,2014,Salaire net annuel moyen en EQTP des cadres,"-20,1"
Auvergne-Rhône-Alpes,2015,Revenu salarial net annuel moyen,-27
Bourgogne-Franche-Comté,2015,Revenu salarial net annuel moyen,-26
Bretagne,2015,Revenu salarial net annuel moyen,-25
Centre-Val de Loire,2015,Revenu salarial net annuel moyen,-24
Corse,2015,Revenu salarial net annuel moyen,-21
Grand Est,2015,Revenu salarial net annuel moyen,-27
Hauts-de-France,2015,Revenu salarial net annuel moyen,-25
