pays,annee,nom,value
Auvergne-Rhône-Alpes,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.5
Bourgogne-Franche-Comté,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-10.1
Bretagne,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-10
Centre-Val de Loire,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8
Corse,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-6.6
Grand Est,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-9.5
Hauts-de-France,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-9.1
Ile-de-France,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.4
Normandie,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-10
Nouvelle-Aquitaine,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-9.2
Occitanie,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-7.4
Pays de la Loire,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-7.2
Provence-Alpes-Côte d'Azur,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-7
France métropolitaine hors Ile-de-France,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.7
France métropolitaine,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.6
Guadeloupe,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-16.4
Martinique,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-14.3
Guyane,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-11.1
Réunion,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-10.5
Mayotte,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-14
DOM hors Mayotte,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-12.6
DOM y compris Mayotte,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-13
France hors Mayotte,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.7
France y compris Mayotte,2017,"Inscrit·es en bac professionnel, part des femmes par rapport à celles des hommes",-8.8
Auvergne-Rhône-Alpes,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",8
Bourgogne-Franche-Comté,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",8.3
Bretagne,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",9.4
Centre-Val de Loire,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.7
Corse,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",9.1
Grand Est,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",6.2
Hauts-de-France,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",5.9
Ile-de-France,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",4.9
Normandie,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.5
Nouvelle-Aquitaine,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",8.1
Occitanie,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.7
Pays de la Loire,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.5
Provence-Alpes-Côte d'Azur,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.3
France métropolitaine hors Ile-de-France,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.5
France métropolitaine,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7
Guadeloupe,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",7.4
Martinique,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",8.3
Guyane,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",3.9
Réunion,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",4
Mayotte,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",-2.8
DOM hors Mayotte,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",5.7
France hors Mayotte,2015,"Diplômé·es du supérieur chez les 25 à 54 ans, part des femmes par rapport à celles des hommes",6.9
Auvergne-Rhône-Alpes,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-16.9
Bourgogne-Franche-Comté,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-15.1
Bretagne,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-11.8
Centre-Val de Loire,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-13.3
Corse,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-29
Grand Est,2015,25 à 54 ans - Taux d’emploi des non diplômé·es - femmes par rapport aux hommes ,-18.3
