pays,annee,nom,valeur
France,2008,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-25,4"
France,2008,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-14,9"
France,2008,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-9,1"
France,2008,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-18,2"
France,2008,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-20,9"
France,2009,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-23,6"
France,2009,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-13,9"
France,2009,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,7"
France,2009,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-17,5"
France,2009,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-20,1"
France,2010,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-22,6"
France,2010,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-12,7"
France,2010,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,2"
France,2010,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-16,7"
France,2010,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-19,9"
France,2011,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-21,8"
France,2011,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-12,9"
France,2011,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,3"
France,2011,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-17,4"
France,2011,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-19,5"
France,2012,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-21,4"
France,2012,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-13,7"
France,2012,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,8"
France,2012,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-17,0"
France,2012,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-19,4"
France,2013,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-20,9"
France,2013,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-13,6"
France,2013,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,5"
France,2013,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-16,9"
France,2013,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-19,0"
France,2014,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-20,0"
France,2014,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-14,0"
France,2014,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,7"
France,2014,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-16,5"
France,2014,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-18,6"
France,2015,"Cadres, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-20,0"
France,2015,"Professions intermédiaires, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-14,0"
France,2015,"Employé·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-8,5"
France,2015,"Ouvrier·es, différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes","-16,0"
France,2015,Différence de salaires mensuels moyens nets en EQTP des femmes par rapport aux hommes,"-18,5"
