pays,annee,nom,valeur
France,2012,65 à 69 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-36
France,2012,65 à 69 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-26
France,2012,70 à 74 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-40
France,2012,70 à 74 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-29
France,2012,75 à 79 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-46
France,2012,75 à 79 ans - Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-32
France,2012,80 à 84 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-49
France,2012,80 à 84 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-34
France,2012,85 à 89 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-52
France,2012,85 à 89 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-37
France,2012,Ensemble -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-40
France,2012,Ensemble -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-28
France,2015,Salaire des femmes par rapport à celui des hommes,-18.5
France,2015,Cadres - Salaire des femmes par rapport à celui des hommes ,-20
France,2015,Professions intermédiaires - Salaire des femmes par rapport à celui des hommes ,-14
France,2015,Employé.e.s - Salaire des femmes par rapport à celui des hommes ,-8.5
France,2015,Ouvrier.e.s - Salaire des femmes par rapport à celui des hommes ,-16
France,2014,Salaire des femmes par rapport à celui des hommes,-18.59
France,2013,Salaire des femmes par rapport à celui des hommes,-19.05
France,2012,Salaire des femmes par rapport à celui des hommes,-19.39
France,2011,Salaire des femmes par rapport à celui des hommes,-19.45
France,2010,Salaire des femmes par rapport à celui des hommes,-19.87
