indicator,fr,es
"Insertion professionnelle des diplômés d'un master 30 mois après, taux d'insertion","Insertion professionnelle des diplômé·es d'un master 30 mois après, taux d'insertion des femmes par rapport à celui des hommes","Inserción profesional, 30 meses despues de l'obtención de un magíster, tasa de mujeres con respecto a la de hombres"
"Insertion professionnelle des diplômés d'un master 30 mois après, taux d'emploi stable","Insertion professionnelle des diplômé·es d'un master 30 mois après, taux d'emploi stable des femmes par rapport à celui des hommes","Empleo estable, 30 meses despues de l'obtención de un magíster, tasa de mujeres con respecto a la de hombres"
"Insertion professionnelle des diplômés d'un master 30 mois après, taux d'emploi à temps plein","Insertion professionnelle des diplômé·es d'un master 30 mois après, taux d'emploi à temps plein des femmes par rapport à celui des hommes","Empleo a tiempo completo, 30 meses despues de l'obtención de un magíster, tasa de mujeres con respecto a la de hombres"
"Insertion professionnelle des diplômés d'un master 30 mois après, taux d'emplois cadres","Insertion professionnelle des diplômé·es d'un master 30 mois après, taux d'emplois cadres des femmes par rapport à celui des hommes","Empleo ejecutivo a tiempo completo, 30 meses despues de l'obtención de un magíster, tasa de mujeres con respecto a la de hombres"
Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,"Titulaires d’un diplôme de niveau Licence ou plus, taux d'emplois des femmes par rapport à celui des hommes","Titulados de licenciatura o superior, tasa de mujeres con respecto a la de hombres"
"distinction  organismes publics de recherche, INRIA","Distinction organismes publics de recherche, INRIA, part des femmes","Distinciones organismos públicos de investigacion, INRIA, porcentaje de mujeres"
"distinction  organismes publics de recherche, CNRS","Distinction organismes publics de recherche, CNRS, part des femmes","Distinciones organismos públicos de investigacion, CNRS, porcentaje de mujeres"
"distinction  organismes publics de recherche, INSERM","Distinction organismes publics de recherche, INSERM, part des femmes","Distinciones organismos públicos de investigacion, INSERM, porcentaje de mujeres"
"distinction  organismes publics de recherche, INRA","Distinction organismes publics de recherche, INRA, part des femmes","Distinciones organismos públicos de investigacion, INRA, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Formations paramédicales et sociales","Formations d'enseignement supérieur, Formations paramédicales et sociales, part des femmes","Formaciones superiores paramedicales y sociales, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Universités - langues, lettres, sciences humaines","Formations d'enseignement supérieur, Universités - langues, lettres, sciences humaines, part des femmes","Formaciones universitarias lenguas, letras y ciencias humanas, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Universités - médecine, odontologie, pharmacie","Formations d'enseignement supérieur, Universités - médecine, odontologie, pharmacie, part des femmes","Formaciones universitarias medicina, odontología y farmacéutica, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Universités - droit, économie, AES","Formations d'enseignement supérieur, Universités - droit, économie, AES, part des femmes","Formaciones universitarias derecho, economía y admistración, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Écoles de commerce, gestion et comptabilité","Formations d'enseignement supérieur, Écoles de commerce, gestion et comptabilité, part des femmes","Formaciones superiores comercio, gestión y contabilidad, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, sciences, Technologies, Santé","Formations d'enseignement supérieur, sciences, Technologies, Santé, part des femmes","Formaciones superiores ciencias, tecnología y salud, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Classes préparatoires aux grandes écoles","Classes préparatoires aux grandes écoles, part des femmes","Clases preparatorias a las grandes escuelas, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Université - STAPS","Formations d'enseignement supérieur, Université - Sport et STAPS, part des femmes","Formaciones universitarias educación física y deporte, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Université - Sciences","Formations d'enseignement supérieur, Université - Sciences, part des femmes","Formaciones universitarias ciencias, porcentaje de mujeres"
"Part des femmes dans les formations d'enseignement supérieur, Formations d'ingénieurs","Formations d'enseignement supérieur, Formations d'ingénieur·es, part des femmes","Formaciones superiores ingeniería, porcentaje de mujeres"
Part des femmes diplômées d’un titre d’ingénieur,Part des femmes diplômées d’un titre d’ingénieur·es,"Titulados ingeniería, porcentaje de mujeres"
"Personnels enseignants titulaires dans l’enseignement supérieur, filière universitaire","Personnels enseignants titulaires dans l’enseignement supérieur, filière universitaire, part des femmes","Personal docente titulares en la educación superior, universidades, porcentaje de mujeres"
"Personnels enseignants titulaires dans l’enseignement supérieur, corps spécifiques","Personnels enseignants titulaires dans l’enseignement supérieur, corps spécifiques, part des femmes","Personal docente titulares en la educación superior, cuerpos del estado, porcentaje de mujeres"
"Personnels enseignants titulaires dans l’enseignement supérieur, filière hospitalo-universitaire","Personnels enseignants titulaires dans l’enseignement supérieur, filière hospitalo-universitaire, part des femmes","Personal docente titulares en la educación superior, hospitales universitarios, porcentaje de mujeres"
"Personnels enseignants titulaires dans l’enseignement supérieur, total","Personnels enseignants titulaires dans l’enseignement supérieur, part des femmes","Personal docente titulares en la educación superior, porcentaje de mujeres"
