indicator,fr
"Distinction organismes publics de recherche, INRIA, part des femmes","Distinction organismes publics de recherche, INRIA, part des femmes"
"Distinction organismes publics de recherche, CNRS, part des femmes","Distinction organismes publics de recherche, CNRS, part des femmes"
"Distinction organismes publics de recherche, INSERM, part des femmes","Distinction organismes publics de recherche, INSERM, part des femmes"
"Distinction organismes publics de recherche, INRA, part des femmes","Distinction organismes publics de recherche, INRA, part des femmes"
"Formations d'enseignement supérieur, Formations paramédicales et sociales, part des femmes","Formations d'enseignement supérieur, Formations paramédicales et sociales, part des femmes"
"Formations d'enseignement supérieur, Universités - langues, lettres, sciences humaines, part des femmes","Formations d'enseignement supérieur, Universités - langues, lettres, sciences humaines, part des femmes"
"Formations d'enseignement supérieur, Universités - médecine, odontologie, pharmacie, part des femmes","Formations d'enseignement supérieur, Universités - médecine, odontologie, pharmacie, part des femmes"
"Formations d'enseignement supérieur, Universités - droit, économie, AES, part des femmes","Formations d'enseignement supérieur, Universités - droit, économie, AES, part des femmes"
"Formations d'enseignement supérieur, Écoles de commerce, gestion et comptabilité, part des femmes","Formations d'enseignement supérieur, Écoles de commerce, gestion et comptabilité, part des femmes"
"Formations d'enseignement supérieur, sciences, Technologies, Santé, part des femmes","Formations d'enseignement supérieur, sciences, Technologies, Santé, part des femmes"
"Classes préparatoires aux grandes écoles, part des femmes","Classes préparatoires aux grandes écoles, part des femmes"
"Formations d'enseignement supérieur, Université - Sport et STAPS, part des femmes","Formations d'enseignement supérieur, Université - Sport et STAPS, part des femmes"
"Formations d'enseignement supérieur, Université - Sciences, part des femmes","Formations d'enseignement supérieur, Université - Sciences, part des femmes"
"Formations d'enseignement supérieur, Formations d'ingénieur·es, part des femmes","Formations d'enseignement supérieur, Formations d'ingénieur·es, part des femmes"
Part des femmes diplômées d’un titre d’ingénieur·es,Part des femmes diplômées d’un titre d’ingénieur·es
Part des femmes diplômées d’un titre d’ingénieur·es,Part des femmes diplômées d’un titre d’ingénieur·es
Part des femmes diplômées d’un titre d’ingénieur·es,Part des femmes diplômées d’un titre d’ingénieur·es
Part des femmes diplômées d’un titre d’ingénieur·es,Part des femmes diplômées d’un titre d’ingénieur·es
"Personnels enseignants titulaires dans l’enseignement supérieur, filière universitaire, part des femmes","Personnels enseignants titulaires dans l’enseignement supérieur, filière universitaire, part des femmes"
"Personnels enseignants titulaires dans l’enseignement supérieur, corps spécifiques, part des femmes","Personnels enseignants titulaires dans l’enseignement supérieur, corps spécifiques, part des femmes"
"Personnels enseignants titulaires dans l’enseignement supérieur, filière hospitalo-universitaire, part des femmes","Personnels enseignants titulaires dans l’enseignement supérieur, filière hospitalo-universitaire, part des femmes"
"Personnels enseignants titulaires dans l’enseignement supérieur, part des femmes","Personnels enseignants titulaires dans l’enseignement supérieur, part des femmes"
