annee,pays,nom,part de femmes
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Formations paramédicales et sociales",85
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - langues, lettres, sciences humaines",70
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - médecine, odontologie, pharmacie",65
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - droit, économie, AES",60
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Écoles de commerce, gestion et comptabilité",51
2018,France,"Part des femmes dans les formations d’enseignement supérieur, sciences, Technologies, Santé",49
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Classes préparatoires aux grandes écoles",43
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Université - STAPS",30
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Université - Sciences",36
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Formations d'ingénieurs",27
