annee,pays,nom,part de femmes
2011-2018,france,"distinction  organismes publics de recherche, INRIA",24
2011-2018,france,"distinction  organismes publics de recherche, CNRS",42
2011-2018,france,"distinction  organismes publics de recherche, INSERM",44
2011-2018,france,"distinction  organismes publics de recherche, INRA",45
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Formations paramédicales et sociales",85
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - langues, lettres, sciences humaines",70
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - médecine, odontologie, pharmacie",65
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Universités - droit, économie, AES",60
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Écoles de commerce, gestion et comptabilité",51
2018,France,"Part des femmes dans les formations d’enseignement supérieur, sciences, Technologies, Santé",49
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Classes préparatoires aux grandes écoles",43
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Université - STAPS",30
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Université - Sciences",36
2018,France,"Part des femmes dans les formations d’enseignement supérieur, Formations d'ingénieurs",27
2000,France,Part des femmes diplômées d’un titre d’ingénieur,22
2008,France,Part des femmes diplômées d’un titre d’ingénieur,27
2015,France,Part des femmes diplômées d’un titre d’ingénieur,28
2017,France,Part des femmes diplômées d’un titre d’ingénieur,28
2018,France,"Personnels enseignants titulaires dans l’enseignement supérieur, filière universitaire",28
2018,France,"Personnels enseignants titulaires dans l’enseignement supérieur, corps spécifiques",33
2018,France,"Personnels enseignants titulaires dans l’enseignement supérieur, filière hospitalo-universitaire",39
2018,France,"Personnels enseignants titulaires dans l’enseignement supérieur, total",37
