annee,pays,nom,part de femmes
2018,France,Part des tâches domestiques réalisées par les femmes,72%
2018,France,"Université Lettres, sciences humaines, part des femmes",69.70%
2018,France,"Formations paramédicales et sociales, part des femmes",84.60%
2018,France,"Université Sciences STAPS, part des femmes",29%
2018,France,"Formations d'ingénieurs, part des femmes",26.90%
2018,France,"Sciences fondamentales et applications,  part des femmes",28%
2018,France,"Travail secteur numérique, part des femmes",15%
2018,France,Part consacrée à la retransmission du sport féminin à la télévision,18%
2018,France,"Expert.e.s à la télévision et à la radio, part des femmes",35%
2018,France,Présence de femmes dans des publicités pour soin du corps,63%
2018,France,Présence de femmes dans des publicités pour du parfum,57%
2018,France,Présence de femmes dans des publicités pour des jeux d'argent,22%
2018,France,Présence de femmes dans des publicités pour des automobiles,36%
2017,France,"Bourse,Entreprises SBF 120, part des femmes",42%
2017,France,"Bourse, Entreprises CAC 40, part des femmes",42%
2017,Italie,"Bourse, Entreprises MIB 40, part des femmes",32.20%
2017,Royaume-Uni,"Bourse, Entreprises FTSE 100, part des femmes",27.10%
2017,Allemagne,"Bourse, Entreprises HDAX, part des femmes",27.10%
2018,France,"Direction, présidence d' établissements en spectacle vivant, part des femmes",9%
2018,France,"Direction, présidence de Musées Nationaux, part des femmes",43%
2018,France,"Direction, présidence d'entreprises de l'audiovisuel public, part des femmes",60%
2016,France,"Cadres techniques, part des femmes",17.80%
2016,France,"Direction technique natiopnale, part des femmes",13.40%
2016,France,"Allocataires du RSA, part des femmes",54%
2016,France,"Bénéficiaires prime d'activité, part des femmes",41.40%
2018,France,"Assemblée Nationale, part des femmes",39.17%
2018,France,"Sénat, part des femmes",31.79%
2018,France,"Gouvernement, part des femmes",50%
2018,France,"Présidences de commissions Assemblée Nationale, part des femmes",41%
2018,France,Présidences de commissions au Sénat part des femmes,33%
2016,France,"Délégations secteur Affaires sociales et santé des conseils régionaux, part des femmes",100%
2016,France,"Délégations secteur Education et lycée des conseils régionaux, part des femmes",54.50%
2016,France,"Délégations secteur Budget et Finances des conseils régionaux, part des femmes",11.10%
2016,France,"Délégations secteur Transport des conseils régionaux, part des femmes",8.30%
2018,France,"Programmation artistique théâtre et danse, part des artistes femmes",34%
2018,France,"Exposition, et acquisition dans les FRAC , part des artistes femmes",23%
2018,France,"Programmation artistique lieux musicaux, part des artistes femmes                ",20%
2016,France,"Réalisation de films longs métrages, part des femmes",21%
2016,France,"Fédérations sportives, licencié.e.s, part des femmes",37.50%
2015,France,"Fonction publique d'État, catégorie A, part des femmes",55%
2015,France,"Fonction publique d'État, catégorie A+, part des femmes",39%
2015,France,"Fonction publique d'État, encadrement supérieur et direction, part des femmes",32%
2015,France,"Fonction publique territoriale, catégorie A, part des femmes",61%
2015,France,"Fonction publique territoriale, catégorie A+, part des femmes",52%
2015,France,"Fonction publique territoriale, encadrement supérieur et direction, part des femmes",29%
2015,France,"Fonction publique hospitalière, catégorie A, part des femmes",47%
2015,France,"Fonction publique hospitalière catégorie A+, part des femmes",45.60%
2015,France,"Fonction publique hospitalière, encadrement supérieur et direction, part des femmes",47%
2017,France,"École Nationale d'adminsitration (ENA), part des femmes",38.75%
2013,France,"Étudiants universitaires, part des femmes",55%
2013,France,"Diplômés universités, part des femmes",59%
2013,France,"Employés universitaires grade C, part des femmes",44%
2013,France,"Employés universitaires grade A, part des femmes",21%
2014,France,"Employés cadres techniques, part des femmes",16.98%
2014,France,"Employés DTN (directrice technique nationale), part des femmes",12.50%
2016,France,"Présidentes d'entreprise (PDG), part des femmes",3%
2016,France,"Membres exécutifs d'entreprise, part des femmes",15%
2016,France,"Membres non exécutifs d'entreprise, part des femmes",44%
2015,France,"Maires de France, part des femmes",16%
2015,France,"Conseilleurs municipaux, part des femmes",40.30%
2015,France,"Présidentes de conseils régionaux, part des femmes",17.60%
2015,France,"Conseilleurs régionaux, part des femmes",47.80%
2015,France,"Présidentes de conseils départementaux, part des femmes",9.90%
2015,France,"Conseilleurs départementaux, part des femmes",50%
2016,France,"Conseilleurs régionaux en affaires sociale, part des femmes",100%
2016,France,"Conseilleurs régionaux en éducation, part des femmes ",54%
2016,France,"Conseilleurs régionaux en budget/finance, part des femmes",11.10%
2016,France,"Conseilleurs régionaux en transport, part des femmes ",8.30%
2016,France,"Directeurs des musées nationaux, part des femmes",41%
2016,France,"Artistes dans spectacles cirque, part des femmes",16%
2016,France,"Artistes dans spectacles danse, part des femmes",31%
2016,France,"Artistes dans spectacles théâtre, part des femmes",27%
2016,France,"Artistes compositeurs, part des femmes",1%
2016,France,"Artistes chefs d'orchestre, part des femmes",4%
2016,France,"Artistes solistes, part des femmes",28%
2016,France,"Artistes travaillant dans la mise en scène opéra, part des femmes",26%
2014,France,"Présentateurs dans les journaux télévision, part des femmes ",20%
2014,France,"Présentateurs dans les journaux radio, part des femmes ",18%
2014,France,Pourcentage des femmes parmi les experts invités dans les médias,20%
2016,France,Pourcentage des femmes ayant subi une attitude sexiste,80%
2016,France,"Directeurs des  entreprises de l'audiovisuel public, part des femmes",60%
2016,France,"Directeurs des établissement spectacle vivant, part des femmes",8%
