,pays,année,formulation,part des femmes,value,map_value
Part des femmes dans le total des formations scientifiques (%),France,2006,Part des femmes dans le total des formations scientifiques (%),38,38,0.24
Part des femmes dans le total des formations scientifiques hors santé (%),France,2006,Part des femmes dans le total des formations scientifiques hors santé (%),30.2,30.2,0.396
Part des femmes dans le total des formations scientifiques (%),France,2011,Part des femmes dans le total des formations scientifiques (%),40,40,0.2
Part des femmes dans le total des formations scientifiques hors santé (%),France,2011,Part des femmes dans le total des formations scientifiques hors santé (%),31.9,31.9,0.362
Part des femmes dans le total des formations scientifiques (%),France,2012,Part des femmes dans le total des formations scientifiques (%),40,40,0.2
Part des femmes dans le total des formations scientifiques hors santé (%),France,2012,Part des femmes dans le total des formations scientifiques hors santé (%),31.8,31.8,0.364
Part des femmes dans le total des formations scientifiques (%),France,2013,Part des femmes dans le total des formations scientifiques (%),40,40,0.2
Part des femmes dans le total des formations scientifiques hors santé (%),France,2013,Part des femmes dans le total des formations scientifiques hors santé (%),31.8,31.8,0.364
Part des femmes dans le total des formations scientifiques (%),France,2014,Part des femmes dans le total des formations scientifiques (%),40.1,40.1,0.198
Part des femmes dans le total des formations scientifiques hors santé (%),France,2014,Part des femmes dans le total des formations scientifiques hors santé (%),31.8,31.8,0.364
Part des femmes dans le total des formations scientifiques (%),France,2015,Part des femmes dans le total des formations scientifiques (%),40.2,40.2,0.196
Part des femmes dans le total des formations scientifiques hors santé (%),France,2015,Part des femmes dans le total des formations scientifiques hors santé (%),32.1,32.1,0.358
Part des femmes dans le total des formations scientifiques (%),France,2016,Part des femmes dans le total des formations scientifiques (%),40.3,40.3,0.194
Part des femmes dans le total des formations scientifiques hors santé (%),France,2016,Part des femmes dans le total des formations scientifiques hors santé (%),32.3,32.3,0.354
,,,,,,
Entre 2006 et 2016 ,France,,Entre 2006 et 2016,,,
Entre 2006 et 2016-Université (formations scientifiques + ingénieurs),France,2016,"Entre 2006 et 2016-Université (formations scientifiques + ingénieurs), part des femmes ",38.9,38.9,0.222
Entre 2006 et 2016 études Sciences fondamentales et applications,France,2016,"Entre 2006 et 2016 études Sciences fondamentales et applications, part des femmes ",28.1,28.1,0.438
"Entre 2006 et 2016 études Sciences de la vie, de la santé, de la Terre et de l'Univers",France,2016,"Entre 2006 et 2016 études Sciences de la vie, de la santé, de la Terre et de l'Univers, part des femmes ",60.8,60.8,0.216
Entre 2006 et 2016 études Plurisciences,France,2016,"Entre 2006 et 2016 études Plurisciences, part des femmes ",43.2,43.2,0.136
Entre 2006 et 2016 Université (santé),France,2016,"Entre 2006 et 2016 Université (santé), part des femmes ",64.1,64.1,0.282
Entre 2006 et 2016 études Médecine odontologie,France,2016,"Entre 2006 et 2016 études Médecine odontologie, part des femmes ",62.4,62.4,0.248
Entre 2006 et 2016 études Pharmacie,France,2016,"Entre 2006 et 2016 études Pharmacie, part des femmes ",63.9,63.9,0.278
Entre 2006 et 2016 études Plurisanté (Paces),France,2016,"Entre 2006 et 2016 études Plurisanté (Paces), part des femmes ",68.5,68.5,0.37
Entre 2006 et 2016 DUT scientifique,France,2016,"Entre 2006 et 2016 DUT scientifique, part des femmes ",21.9,21.9,0.562
Entre 2006 et 2016 Autres établissements d'enseignement universitaire scientifique,France,2016,"Entre 2006 et 2016 Autres établissements d'enseignement universitaire scientifique, part des femmes ",55.2,55.2,0.104
Entre 2006 et 2016 Ecoles d'ingénieur-e-s ,France,2016,"Entre 2006 et 2016 Ecoles d'ingénieur-e-s , part des femmes ",27.6,27.6,0.448
Entre 2006 et 2016 Classe prépa aux grandes écoles scientifique,France,2016,"Entre 2006 et 2016 Classe prépa aux grandes écoles scientifique, part des femmes ",30.2,30.2,0.396
Entre 2006 et 2016 STS et assimilés scientifique,France,2016,"Entre 2006 et 2016 STS et assimilés scientifique, part des femmes ",24.1,24.1,0.518
Total formations scientifiques,France,2016,"Total formations scientifiques, part des femmes ",40.3,40.3,0.194
