,pays,année,formulation,Part des femmes,value,map_value
Écoles d'ingénieurs publiques sous tutelle du MESRI,France,2016,"Écoles d'ingénieurs publiques sous tutelle du MESRI, part des femmes ",27.6,27.6%,0.448
Écoles d'ingénieur-e-s internes ou rattachées aux universités,France,2016,"Écoles d'ingénieur-e-s internes ou rattachées aux universités, part des femmes ",29.3,29.3%,0.414
Autres écoles d'ingénieur-e-s du MESRI,France,2016,"Autres écoles d'ingénieur-e-s du MESRI, part des femmes ",26.5,26.5%,0.47
Universités de technologie,France,2016,"Universités de technologie, part des femmes ",25.7,25.7%,0.486
Institut National des sciences appliquées ,France,2016,"Institut National des sciences appliquées , part des femmes ",32.3,32.3%,0.354
École Nationale supérieure d'Arts et Métiers,France,2016,"École Nationale supérieure d'Arts et Métiers, part des femmes ",16,16%,0.68
Écoles Centrales,France,2016,"Écoles Centrales, part des femmes ",24.5,24.5%,0.51
Autres écoles d'ingénieur-e-s ,France,2016,"Autres écoles d'ingénieur-e-s , part des femmes ",25.5,25.5%,0.49
Autres Écoles d'ingénieur-e-s ,France,2016,"Autres Écoles d'ingénieur-e-s , part des femmes ",33.5,33.5%,0.33
"Autres Écoles d'ingénieur-e-s filière agriculture, pêche",France,2016,"Autres Écoles d'ingénieur-e-s filière agriculture, pêche, part des femmes ",66,66%,0.32
Autres Écoles d'ingénieur-e-s filière Défense,France,2016,"Autres Écoles d'ingénieur-e-s filière Défense, part des femmes ",17.3,17.3%,0.654
Autres Écoles d'ingénieur-e-s filière Industrie,France,2016,"Autres Écoles d'ingénieur-e-s filière Industrie, part des femmes ",26.7,26.7%,0.466
Autres Écoles d'ingénieur-e-s filière Mer,France,2016,"Autres Écoles d'ingénieur-e-s filière Mer, part des femmes ",9.8,9.8%,0.804
Autres Écoles d'ingénieur-e-s filière Télécommunications,France,2016,"Autres Écoles d'ingénieur-e-s filière Télécommunications, part des femmes ",20.9,20.9%,0.582
"Autres Écoles d'ingénieur-e-s filière Équipement, transport, logement",France,2016,"Autres Écoles d'ingénieur-e-s filière Équipement, transport, logement, part des femmes ",30,30%,0.4
Autres Écoles d'ingénieur-e-s filière Économie et finances,France,2016,"Autres Écoles d'ingénieur-e-s filière Économie et finances, part des femmes ",32.1,32.1%,0.358
Autres Écoles d'ingénieur-e-s Ville de Paris,France,2016,"Autres Écoles d'ingénieur-e-s Ville de Paris, part des femmes ",36.9,36.9%,0.262
Autres Écoles d'ingénieur-e-s  Écoles privées,France,2016,"Autres Écoles d'ingénieur-e-s  Écoles privées, part des femmes ",26,26%,0.48
Formations d'ingénieur-e-s  en partenariat (FIP),France,2016,"Formations d'ingénieur-e-s  en partenariat (FIP), part des femmes ",14.2,14.2%,0.716
Ensemble des formations d'ingénieur-e-s ,France,2016,"Ensemble des formations d'ingénieur-e-s , part des femmes ",26.9,26.9%,0.462
Dont étudiants en cycle ingénieur-e,France,2016,"Dont étudiants en cycle ingénieur-e, part des femmes ",27,27%,0.46
,,,,,,
,,,,,,
► Champ : France métropolitaine + DOM.,,,,,,
1. Hors cycles préparatoires intégrés.,,,,,,
"2. Depuis 2011-2012, les formations d’ingénieurs de l’université de Lorraine, devenue grand établissement, sont maintenues avec les effectifs des écoles internes aux universités.",,,,,,
"3. Après sa création en 2014, l’INSA centre Val de Loire (fusion de l’ENSI de Bourges et de l’ENIVL de Blois) s’est agrandi, en 2015, en intégrant l’École nationale supérieure de la Nature et du Paysage.",,,,,,
4. Y compris l’INP de Toulouse et l’institut polytechnique de Grenoble.,,,,,,
,,,,,,
,,,,,,
Source : MESRI-SIES / Système d’information SISE.,,,,,,
