annee,pays,nom,part de femmes
2000,France,part de femmes dans l'emploi spectacle vivant,34
2001,France,part de femmes dans l'emploi spectacle vivant,35
2002,France,part de femmes dans l'emploi spectacle vivant,36
2003,France,part de femmes dans l'emploi spectacle vivant,36
2004,France,part de femmes dans l'emploi spectacle vivant,36
2005,France,part de femmes dans l'emploi spectacle vivant,36
2006,France,part de femmes dans l'emploi spectacle vivant,36
2007,France,part de femmes dans l'emploi spectacle vivant,36
2008,France,part de femmes dans l'emploi spectacle vivant,37
2009,France,part de femmes dans l'emploi spectacle vivant,37
2010,France,part de femmes dans l'emploi spectacle vivant,37
2011,France,part de femmes dans l'emploi spectacle vivant,38
2012,France,part de femmes dans l'emploi spectacle vivant,38
2013,France,part de femmes dans l'emploi spectacle vivant,38
